scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,8.0008,0.7897,0.7031,0.8902,0.748,38.0,19.0,16.0,11.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.7897,0.8902,84.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,8.0008,0.6717,0.8704,0.6717,0.8704,25.0,19.0,11.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8704,0.8704,69.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,8.001,0.6928,0.728,0.8129,0.8654,28.0,25.0,24.0,15.0,0.0,3.0,8.0,4.0,0.0,1.0,0.0,0.0,0.728,0.8654,92.0,1.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,9.0009,0.6764,0.8893,0.6764,0.8893,26.0,19.0,11.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8893,0.8893,70.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,9.0009,0.806,0.7056,0.9678,0.7776,36.0,19.0,16.0,15.0,3.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,0.806,0.9678,86.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,9.0011,0.7608,0.8246,0.8194,0.8666,27.0,28.0,30.0,17.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.8246,0.8666,102.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,10.001,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.848,0.848,68.0,4.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,10.001,0.9298,0.7746,0.9855,0.797,37.0,26.0,19.0,16.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9298,0.9855,98.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,10.0012,0.8233,0.8744,0.8233,0.8744,30.0,28.0,33.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8744,0.8744,110.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,11.0011,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.848,0.848,68.0,4.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,11.0012,0.9298,0.7746,0.9892,0.802,37.0,26.0,19.0,16.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9298,0.9892,98.0,2.0
