scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,0.0,0.2396,0.246,0.2411,0.2485,20.0,15.0,11.6667,7.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,1.0001,0.2872,0.302,0.2872,0.302,20.0,15.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,1.0001,0.2535,0.2488,0.2535,0.2488,26.0,14.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,1.0001,0.2748,0.2901,0.2748,0.2901,21.0,20.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,2.0002,0.316,0.3137,0.316,0.3137,32.0,15.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,2.0002,0.3197,0.3357,0.3197,0.3357,25.0,23.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,2.0003,0.3084,0.4124,0.3084,0.4124,22.0,18.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,3.0003,0.3695,0.3387,0.3695,0.3387,36.0,18.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,3.0003,0.3487,0.463,0.3487,0.463,24.0,23.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,3.0003,0.3481,0.3647,0.3496,0.3691,28.0,26.0,23.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,4.0003,0.4121,0.5177,0.4161,0.5224,33.0,24.0,11.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,4.0004,0.3932,0.3499,0.3932,0.3499,38.0,19.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,4.0004,0.3797,0.4214,0.3866,0.4232,28.0,29.0,30.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,5.0004,0.4591,0.5449,0.4591,0.5449,35.0,27.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,5.0004,0.4451,0.374,0.4475,0.3832,39.0,20.0,18.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,5.0005,0.4523,0.4517,0.4523,0.4517,30.0,32.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,6.0005,0.5319,0.5774,0.5337,0.5791,36.0,31.0,18.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
