scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,8.0009,0.6104,0.4846,0.6104,709.0788,0.0,0.0,0.0,709.0788,0.0,,,,0.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,9.0009,0.6137,0.5499,0.6137,995.0974,0.0,0.0,0.0,995.0974,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,9.001,0.5556,0.6003,0.6003,973.1079,0.0,0.0,0.0,973.1079,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,9.0011,0.6428,0.516,0.6428,842.0992,0.0,0.0,0.0,842.0992,0.0,,,,0.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,10.001,0.635,0.5942,0.635,1150.1186,0.0,0.0,0.0,1150.1186,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,10.0011,0.6009,0.6299,0.6299,1135.1246,0.0,0.0,0.0,1135.1246,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,10.0012,0.6805,0.549,0.6805,987.119,0.0,0.0,0.0,987.119,0.0,,,,0.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,11.0011,0.6615,0.6328,0.6615,1315.1332,0.0,0.0,0.0,1315.1332,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,11.0012,0.6412,0.675,0.675,1308.1422,0.0,0.0,0.0,1308.1422,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,11.0013,0.7294,0.5871,0.7294,1142.1308,0.0,0.0,0.0,1142.1308,0.0,,,,0.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,12.0012,0.7262,0.6806,0.7262,1490.1494,0.0,0.0,0.0,1490.1494,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,12.0013,0.6888,0.7257,0.7257,1491.1598,0.0,0.0,0.0,1491.1598,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,12.0015,0.7715,0.6118,0.7715,1305.1606,0.0,0.0,0.0,1305.1606,0.0,,,,0.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,13.0013,0.7497,0.7077,0.7497,1675.1674,0.0,0.0,0.0,1675.1674,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,13.0014,0.7066,0.7493,0.7493,1681.1784,0.0,0.0,0.0,1681.1784,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,13.0015,0.8002,0.6524,0.8002,1477.1737,0.0,0.0,0.0,1477.1737,0.0,,,,0.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,14.0015,0.7957,0.7348,0.7957,1870.1982,0.0,0.0,0.0,1870.1982,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,14.0016,0.7402,0.7695,0.7695,1879.2081,0.0,0.0,0.0,1879.2081,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,14.0016,0.837,0.6866,0.837,1659.1883,0.0,0.0,0.0,1659.1883,0.0,,,,0.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,15.0016,0.8231,0.7562,0.8231,2073.2205,0.0,0.0,0.0,2073.2205,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,15.0016,0.7714,0.7976,0.7976,2085.2244,0.0,0.0,0.0,2085.2244,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,15.0018,0.8645,0.7398,0.8645,1852.2192,0.0,0.0,0.0,1852.2192,0.0,,,,0.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,16.0017,0.8425,0.7857,0.8425,2284.234,0.0,0.0,0.0,2284.234,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,16.0017,0.7777,0.8001,0.8001,2292.2486,0.0,0.0,0.0,2292.2486,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,16.0019,0.892,0.7604,0.892,2052.2516,0.0,0.0,0.0,2052.2516,0.0,,,,0.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,17.0018,0.8717,0.8179,0.8717,2506.2724,0.0,0.0,0.0,2506.2724,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,17.0018,0.7777,0.8001,0.8001,2499.2664,0.0,0.0,0.0,2499.2664,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,17.002,0.8791,0.7502,0.8791,2249.2699,0.0,0.0,0.0,2249.2699,3.0,,,,3.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,18.0019,0.8739,0.8195,0.8739,2729.2932,0.0,0.0,0.0,2729.2932,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,18.0019,0.7777,0.8001,0.8001,2706.2898,0.0,0.0,0.0,2706.2898,0.0,,,,0.0,5.8143,,,,5.8143
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,18.0022,0.8791,0.7502,0.8791,2446.3008,0.0,0.0,0.0,2446.3008,3.0,,,,3.0,7.6034,,,,7.6034
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,19.002,0.8739,0.8195,0.8739,2952.3135,0.0,0.0,0.0,2952.3135,3.0,,,,3.0,5.7932,,,,5.7932
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,19.0021,0.7777,0.8001,0.8001,2913.3203,0.0,0.0,0.0,2913.3203,0.0,,,,0.0,5.8143,,,,5.8143
