scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,3,0.0,0.2093,0.2149,0.2204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.714,0.0774,0.0722,0.073,0.6022
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,3,1.0,0.2792,0.2897,0.2897,19.0008,15.0006,8.0003,9.0004,51.0021,0.0,0.0,0.0,0.0,0.0,2.0695,0.0903,0.0627,0.0677,0.7395
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,3,1.0001,0.2501,0.2431,0.2501,25.0023,14.0013,13.0012,5.0005,57.0052,0.0,0.0,0.0,0.0,0.0,0.9983,0.052,0.0784,0.0405,0.3575
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,3,1.0001,0.2463,0.2563,0.2563,19.0022,17.002,18.0021,11.0013,65.0076,0.0,0.0,0.0,0.0,0.0,2.0741,0.09,0.0756,0.1107,0.7096
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,3,2.0002,0.303,0.3823,0.3823,41.0035,33.0028,16.0013,23.0021,113.0098,0.0,0.0,0.0,0.0,0.0,2.0695,0.0903,0.0627,0.0677,0.7395
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,3,2.0002,0.2964,0.2856,0.2964,55.0047,29.0025,28.0024,12.001,124.0106,0.0,0.0,0.0,0.0,0.0,0.9983,0.052,0.0784,0.0405,0.3575
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,3,2.0002,0.2921,0.3221,0.3221,42.0046,39.0043,37.0041,24.0026,142.0156,0.0,0.0,0.0,0.0,0.0,2.0741,0.09,0.0756,0.1107,0.7096
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,3,3.0003,0.3762,0.4737,0.4737,68.0059,54.0047,27.0023,38.0034,187.0163,0.0,0.0,0.0,0.0,0.0,2.0695,0.0903,0.0627,0.0677,0.7395
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,3,3.0003,0.341,0.3345,0.341,90.008,46.0041,43.0038,22.002,201.0179,0.0,0.0,0.0,0.0,0.0,0.9983,0.052,0.0784,0.0405,0.3575
mode=stablequeue2s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=8s,3,3.0003,0.3293,0.3484,0.3484,68.0065,63.006,60.0057,38.0036,229.0218,0.0,0.0,0.0,0.0,0.0,2.0741,0.09,0.0756,0.1107,0.7096
