scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,8.0007,0.6332,0.7035,0.6348,0.7052,48.0,43.0,21.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7035,0.7052,134.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,8.0009,0.5684,0.5713,0.5684,0.5713,41.0,40.0,44.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5713,0.5713,150.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,8.0009,0.6104,0.5212,0.6178,0.5228,50.0,31.0,25.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6104,0.6178,131.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,9.0008,0.6708,0.7278,0.6708,0.7278,49.0,46.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7278,0.7278,143.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,9.001,0.6127,0.6069,0.6127,0.6069,44.0,42.0,48.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6127,0.6127,159.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,9.001,0.6604,0.5519,0.6911,0.5589,54.0,33.0,25.0,28.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6604,0.6911,140.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,10.0009,0.7035,0.7668,0.7181,0.7744,49.0,47.0,31.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7668,0.7744,154.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,10.0011,0.6336,0.6315,0.6336,0.6315,53.0,42.0,48.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336,0.6336,168.0,0.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,10.0011,0.702,0.571,0.702,0.571,53.0,36.0,29.0,31.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.702,0.702,149.0,3.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,11.001,0.7392,0.8213,0.7462,0.8425,50.0,51.0,35.0,27.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8213,0.8425,163.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,11.0012,0.6606,0.651,0.6638,0.6531,59.0,42.0,52.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6606,0.6638,177.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,11.0013,0.7392,0.6409,0.7392,0.6409,58.0,39.0,29.0,34.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.7392,0.7392,160.0,3.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,12.0011,0.7651,0.8465,0.778,0.8709,51.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8465,0.8709,171.0,1.0
mode=periodic8s_blocking=0_defpreempt=1,nodes=32_prio=4_arrival=16s,3,12.0013,0.6967,0.6718,0.6967,0.6718,62.0,45.0,54.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6967,0.6967,188.0,2.0
