scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,0.0,0.2188,0.2195,0.2199,0.2212,19.3333,13.6667,10.3333,6.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.2195,0.2212,49.6667,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,1.0001,0.2792,0.2897,0.2792,0.2897,19.0,15.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2897,0.2897,51.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,1.0001,0.2609,0.2744,0.2609,0.2744,19.0,20.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2744,0.2744,70.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,1.0001,0.2304,0.2243,0.2304,0.2243,24.0,13.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2304,0.2304,52.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,2.0002,0.261,0.2611,0.261,0.2611,27.0,14.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2611,0.2611,62.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,2.0002,0.2999,0.3803,0.2999,0.3803,21.0,18.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3803,0.3803,61.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,2.0002,0.3049,0.328,0.3049,0.328,25.0,23.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,0.328,80.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,3.0003,0.3502,0.4556,0.3502,0.4556,25.0,21.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4556,0.4556,71.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,3.0003,0.3453,0.3576,0.3453,0.3576,26.0,25.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3576,0.3576,91.0,0.0
mode=periodic8s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,3.0006,0.3178,0.3153,0.3178,0.3153,33.0,15.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3178,0.3178,72.0,0.0
