scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,9.0008,0.5713,0.5664,0.5713,0.5664,41.0,42.0,44.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,9.0008,0.6348,0.7052,0.6348,0.7052,48.0,43.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,9.001,0.6268,0.5316,0.6268,0.5316,51.0,32.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.0009,0.6741,0.7322,0.6772,0.7391,49.0,46.0,22.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.0012,0.663,0.555,0.6975,0.5658,55.0,33.0,25.0,28.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.0023,0.6085,0.5958,0.6085,0.5958,44.0,42.0,48.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.001,0.72,0.7813,0.72,0.7813,49.0,49.0,31.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.0023,0.6313,0.6221,0.6313,0.6221,54.0,42.0,48.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.0144,0.663,0.555,0.7286,0.621,55.0,33.0,25.0,28.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,12.0011,0.72,0.7813,0.7512,0.8482,49.0,49.0,31.0,27.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,12.0024,0.6637,0.6494,0.6637,0.6494,60.0,42.0,52.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,12.0149,0.6566,0.5511,0.7573,0.6642,53.0,33.0,25.0,28.0,7.0,7.0,6.0,6.0,2.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,13.0012,0.72,0.7813,0.7858,0.8777,49.0,49.0,31.0,27.0,7.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,13.0025,0.6955,0.6828,0.7002,0.7005,62.0,45.0,54.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,13.015,0.6566,0.5511,0.8257,0.689,53.0,33.0,25.0,28.0,9.0,10.0,8.0,10.0,2.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,14.0013,0.72,0.7813,0.7975,0.8963,49.0,49.0,31.0,27.0,10.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0
