scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5317.4339,0.8953,0.7287,0.8953,0.7287,198.0,0.0,2374.0,0.8953,0.8953,198.0,2374.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5318.2139,0.9139,0.8236,0.9918,0.8746,224.0,8.0,2298.0,0.9139,0.9918,224.0,2298.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5318.4067,0.9408,0.7965,0.9691,0.8091,226.0,4.0,2208.0,0.9408,0.9691,226.0,2208.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5318.434,0.8912,0.7246,0.8912,0.7246,196.0,0.0,2376.0,0.8912,0.8912,196.0,2376.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5319.214,0.9129,0.8278,0.9803,0.8693,222.0,7.0,2301.0,0.9129,0.9803,222.0,2301.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5319.4068,0.9452,0.7985,0.9691,0.8091,227.0,3.0,2208.0,0.9452,0.9691,227.0,2208.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5319.434,0.8912,0.7246,0.8912,0.7246,196.0,0.0,2376.0,0.8912,0.8912,196.0,2376.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5320.2141,0.9129,0.8278,0.9803,0.8693,222.0,7.0,2301.0,0.9129,0.9803,222.0,2301.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5320.4069,0.9452,0.7985,0.9691,0.8091,227.0,3.0,2208.0,0.9452,0.9691,227.0,2208.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5320.4341,0.8876,0.7142,0.8876,0.7142,194.0,0.0,2378.0,0.8876,0.8876,194.0,2378.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5321.2142,0.911,0.8258,0.9784,0.8673,221.0,7.0,2302.0,0.911,0.9784,221.0,2302.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5321.407,0.9365,0.7945,0.9604,0.8051,225.0,3.0,2210.0,0.9365,0.9604,225.0,2210.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5321.4342,0.8876,0.7142,0.8876,0.7142,194.0,0.0,2378.0,0.8876,0.8876,194.0,2378.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5322.2143,0.911,0.8258,0.9784,0.8673,221.0,7.0,2302.0,0.911,0.9784,221.0,2302.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5322.4071,0.9365,0.7945,0.9604,0.8051,225.0,3.0,2210.0,0.9365,0.9604,225.0,2210.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5322.4343,0.8726,0.7121,0.8726,0.7121,193.0,0.0,2379.0,0.8726,0.8726,193.0,2379.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5323.2144,0.911,0.8258,0.9784,0.8673,221.0,7.0,2302.0,0.911,0.9784,221.0,2302.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5323.4072,0.9365,0.7945,0.9604,0.8051,225.0,3.0,2210.0,0.9365,0.9604,225.0,2210.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5323.4344,0.8726,0.7121,0.8726,0.7121,193.0,0.0,2379.0,0.8726,0.8726,193.0,2379.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5324.4345,0.8726,0.7121,0.8726,0.7121,193.0,0.0,2379.0,0.8726,0.8726,193.0,2379.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5324.908,0.911,0.8258,0.9784,0.8673,221.0,7.0,2302.0,0.911,0.9784,221.0,2302.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,5325.4346,0.8726,0.7121,0.8726,0.7121,193.0,0.0,2379.0,0.8726,0.8726,193.0,2379.0
