scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,0.0,0.2162,0.2203,0.2216,0.226,19.3333,14.0,9.6667,6.3333,0.3333,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,1.0001,0.2348,0.2312,0.2448,0.2338,25.0,13.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,1.0001,0.2748,0.2901,0.2786,0.2928,21.0,20.0,19.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,1.0001,0.2758,0.2862,0.2758,0.2862,19.0,15.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,2.0002,0.2895,0.3303,0.2968,0.3318,24.5,16.5,11.5,10.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,2.0002,0.3119,0.3311,0.3172,0.3339,25.0,23.0,20.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,3.0003,0.3383,0.3305,0.3383,0.3305,35.0,16.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,3.0003,0.3522,0.4631,0.3522,0.4631,25.0,22.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,3.0003,0.3502,0.3715,0.3502,0.3715,28.0,25.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,4.0004,0.4082,0.513,0.4082,0.513,32.0,24.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
