scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,645.5827,0.9148,0.8848,0.9148,0.8848,121.0,0.0,81.0,0.9148,0.9148,121.0,81.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,646.3914,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,646.5493,0.9423,0.7615,0.9975,0.7726,107.0,2.0,98.0,0.9423,0.9975,107.0,98.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,646.5828,0.9148,0.8848,0.9148,0.8848,121.0,0.0,81.0,0.9148,0.9148,121.0,81.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,647.3916,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,647.5829,0.8981,0.8736,0.8981,0.8736,120.0,0.0,82.0,0.8981,0.8981,120.0,82.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,647.9174,0.9423,0.7615,0.9975,0.7726,107.0,2.0,98.0,0.9423,0.9975,107.0,98.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,648.3917,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,648.583,0.8981,0.8736,0.8981,0.8736,120.0,0.0,82.0,0.8981,0.8981,120.0,82.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,648.9175,0.9423,0.7615,0.9975,0.7726,107.0,2.0,98.0,0.9423,0.9975,107.0,98.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,649.3918,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,649.5831,0.8981,0.8736,0.8981,0.8736,120.0,0.0,82.0,0.8981,0.8981,120.0,82.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,649.9176,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,650.3919,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,650.5832,0.894,0.8705,0.894,0.8705,119.0,0.0,83.0,0.894,0.894,119.0,83.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,650.9177,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,651.392,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,651.5833,0.894,0.8705,0.894,0.8705,119.0,0.0,83.0,0.894,0.894,119.0,83.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,651.9347,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,652.3922,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,652.5835,0.894,0.8705,0.894,0.8705,119.0,0.0,83.0,0.894,0.894,119.0,83.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,653.3923,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,653.5835,0.894,0.8705,0.894,0.8705,119.0,0.0,83.0,0.894,0.894,119.0,83.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,653.7278,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,654.3924,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,654.5836,0.894,0.8705,0.894,0.8705,119.0,0.0,83.0,0.894,0.894,119.0,83.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,655.3926,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,655.5837,0.894,0.8705,0.894,0.8705,119.0,0.0,83.0,0.894,0.894,119.0,83.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,655.7446,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,656.3927,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,656.5838,0.894,0.8705,0.894,0.8705,119.0,0.0,83.0,0.894,0.894,119.0,83.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,657.3928,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,657.5445,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,657.5839,0.8762,0.7831,0.8762,0.7831,116.0,0.0,86.0,0.8762,0.8762,116.0,86.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,658.3929,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,658.584,0.8762,0.7831,0.8762,0.7831,116.0,0.0,86.0,0.8762,0.8762,116.0,86.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,659.3931,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,659.5841,0.8762,0.7831,0.8762,0.7831,116.0,0.0,86.0,0.8762,0.8762,116.0,86.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,659.8456,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,660.3932,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,660.5842,0.8762,0.7831,0.8762,0.7831,116.0,0.0,86.0,0.8762,0.8762,116.0,86.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,661.3933,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,661.4532,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,661.5843,0.8762,0.7831,0.8762,0.7831,116.0,0.0,86.0,0.8762,0.8762,116.0,86.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,662.3934,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,662.5844,0.8762,0.7831,0.8762,0.7831,116.0,0.0,86.0,0.8762,0.8762,116.0,86.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,662.8841,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,663.3935,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,663.5845,0.8762,0.7831,0.8762,0.7831,116.0,0.0,86.0,0.8762,0.8762,116.0,86.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,663.8842,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,664.3936,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,664.5847,0.8762,0.7831,0.8762,0.7831,116.0,0.0,86.0,0.8762,0.8762,116.0,86.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,664.8843,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,665.3937,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,665.5847,0.8762,0.7831,0.8762,0.7831,116.0,0.0,86.0,0.8762,0.8762,116.0,86.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,665.8844,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,666.3938,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,666.5848,0.8762,0.7831,0.8762,0.7831,116.0,0.0,86.0,0.8762,0.8762,116.0,86.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,666.8845,0.9716,0.7676,0.9975,0.7726,108.0,1.0,100.0,0.9716,0.9975,108.0,100.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,667.3939,0.7339,0.8085,0.7339,0.8085,96.0,0.0,35.0,0.8085,0.8085,96.0,35.0
