scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,0.0,0.2211,0.2237,0.222,0.2259,19.3333,14.3333,10.3333,6.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.2237,0.2259,50.3333,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,1.0001,0.2329,0.2287,0.2329,0.2287,24.0,13.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2329,0.2329,53.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,1.0001,0.2534,0.2694,0.2609,0.2744,19.0,20.0,18.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2694,0.2744,69.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,1.0001,0.2846,0.2976,0.2846,0.2976,19.0,15.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2976,0.2976,53.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,2.0002,0.3088,0.3271,0.3088,0.3271,25.0,22.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3271,0.3271,80.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,2.0002,0.2744,0.2709,0.2744,0.2709,28.0,14.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2744,0.2744,63.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,2.0002,0.3048,0.39,0.3162,0.402,22.0,18.0,9.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.402,63.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,3.0003,0.3326,0.3237,0.3456,0.3262,32.0,16.0,15.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326,0.3456,73.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,3.0003,0.3453,0.3576,0.3453,0.3576,26.0,25.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3576,0.3576,91.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,3.0003,0.3608,0.4697,0.3608,0.4697,25.0,23.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4697,0.4697,74.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,4.0003,0.3744,0.4254,0.3744,0.4254,28.0,27.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4254,0.4254,102.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,4.0004,0.3971,0.351,0.4087,0.353,37.0,19.0,16.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3971,0.4087,84.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,4.0004,0.4088,0.5087,0.4088,0.5087,32.0,24.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5087,0.5087,83.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,5.0004,0.452,0.4577,0.452,0.4577,29.0,32.0,32.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4577,0.4577,114.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,5.0005,0.4451,0.374,0.4451,0.374,39.0,20.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4451,0.4451,93.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,5.0005,0.4736,0.5482,0.4736,0.5482,35.0,28.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5482,0.5482,95.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,6.0005,0.4916,0.4906,0.4958,0.4925,31.0,34.0,36.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916,0.4958,122.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,6.0005,0.5091,0.4333,0.5091,0.4333,40.0,25.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091,0.5091,103.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,6.0006,0.5448,0.5853,0.5448,0.5853,36.0,33.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5853,0.5853,105.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,7.0006,0.5214,0.5295,0.5214,0.5295,35.0,34.0,41.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5295,0.5295,133.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,7.0006,0.5342,0.4601,0.5342,0.4601,43.0,27.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342,0.5342,112.0,0.0
