scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,8.0007,0.5918,0.5037,0.5918,297.0274,167.0154,138.0127,109.0101,711.0656,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,8.0009,0.6196,0.6904,0.6904,259.0261,218.022,108.0109,128.013,713.072,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,8.0009,0.5582,0.5587,0.5587,241.0271,240.027,256.0288,151.017,888.1,0.0,0.0,0.0,0.0,0.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,9.0009,0.6327,0.5406,0.6327,349.0339,199.0194,163.0158,136.0134,847.0826,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,9.0009,0.6542,0.7136,0.7136,307.0304,263.0261,130.0129,151.0151,851.0845,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,9.001,0.5845,0.5961,0.5961,285.0313,282.031,301.033,176.0194,1044.1146,0.0,0.0,0.0,0.0,0.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,10.0009,0.6527,0.5606,0.6527,404.037,231.0212,190.0174,164.015,989.0906,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,10.001,0.6895,0.7514,0.7514,356.0344,310.0298,155.0149,178.0173,999.0964,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,10.0011,0.6305,0.6282,0.6305,337.036,324.0349,349.0374,201.0217,1211.13,0.0,0.0,0.0,0.0,0.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,11.001,0.6796,0.6032,0.6796,462.0436,265.0251,219.0206,196.0186,1142.1079,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,11.0011,0.7114,0.7902,0.7902,405.038,360.0336,187.0173,205.0193,1157.1082,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,11.0012,0.6479,0.6411,0.6479,395.0406,366.0381,398.0412,226.0236,1385.1436,0.0,0.0,0.0,1.0,1.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,12.0011,0.7145,0.656,0.7145,524.0471,301.0271,250.0224,230.0206,1305.1172,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,12.0012,0.7292,0.8175,0.8175,455.0421,412.0378,222.0202,233.0216,1322.1216,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,12.0013,0.6873,0.6624,0.6873,457.0481,411.0436,450.0475,252.0268,1570.1659,0.0,0.0,0.0,2.0,2.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,13.0012,0.7456,0.6762,0.7456,589.0547,340.0317,283.0263,265.0247,1477.1373,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,13.0013,0.769,0.8471,0.8471,510.0495,464.0448,258.025,264.0258,1496.1451,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,13.0014,0.7194,0.6871,0.7194,521.0526,458.0469,504.0513,281.0288,1764.1795,0.0,0.0,0.0,2.0,2.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,14.0013,0.7951,0.7244,0.7951,659.0589,380.0341,318.0284,302.0269,1659.1482,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,14.0014,0.769,0.8471,0.8471,565.0567,516.0516,294.0297,295.0298,1670.1679,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,14.0014,0.7627,0.7123,0.7627,589.0587,508.0514,558.0562,314.0318,1969.1982,0.0,0.0,0.0,2.0,2.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,15.0013,0.808,0.7346,0.808,732.0641,420.037,353.0309,339.0295,1844.1615,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,15.0015,0.7955,0.7409,0.7955,664.0655,558.0559,613.0612,348.0349,2183.2174,0.0,0.0,0.0,2.0,2.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,15.0015,0.769,0.8471,0.8471,620.062,568.0566,330.0332,326.0328,1844.1846,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,16.0015,0.8147,0.7416,0.8147,808.0727,460.0415,388.0348,376.0337,2032.1828,0.0,0.0,0.0,0.0,0.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,16.0016,0.8329,0.763,0.8329,739.0713,613.0602,671.0657,382.0375,2405.2348,0.0,0.0,0.0,2.0,2.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,16.0016,0.7715,0.85,0.85,676.0666,620.0609,366.0361,357.0354,2019.1989,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,17.0017,0.8329,0.763,0.8329,814.0773,668.0646,729.0703,416.0402,2627.2525,0.0,0.0,0.0,2.0,2.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,17.0018,0.7741,0.8529,0.8529,733.0747,672.0682,402.0412,388.0398,2195.2239,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,17.0616,0.8158,0.7425,0.8158,885.4663,503.5091,426.2015,415.2606,2230.4376,3.0,0.0,0.0,0.0,3.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,18.0018,0.8329,0.763,0.8329,889.0829,723.0687,787.0746,450.0428,2849.2689,0.0,0.0,0.0,2.0,2.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,18.0019,0.7741,0.8529,0.8529,790.08,724.0731,438.0446,419.0426,2371.2403,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,18.0617,0.8323,0.7533,0.8323,959.4735,548.5135,462.205,452.2642,2422.4562,3.0,0.0,0.0,0.0,3.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,19.0019,0.8329,0.763,0.8329,964.0909,778.0746,845.0808,484.0464,3071.2927,0.0,0.0,0.0,2.0,2.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,19.0618,0.826,0.7512,0.826,1030.4799,597.5179,498.2083,489.2675,2615.4736,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,19.0658,0.7741,0.8529,0.8529,850.7232,779.3967,476.3456,452.024,2558.4895,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,20.002,0.849,0.7731,0.849,1044.0987,833.0799,903.0864,518.0497,3298.3147,0.0,0.0,0.0,2.0,2.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,20.0619,0.826,0.7512,0.826,1101.4842,646.5209,534.2105,526.2698,2808.4853,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,21.0021,0.8577,0.7836,0.8577,1126.1056,888.0845,962.0914,552.0525,3528.334,0.0,0.0,0.0,2.0,2.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,21.062,0.826,0.7512,0.826,1172.4908,695.5254,570.2138,563.2732,3001.5033,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,21.1695,0.7741,0.8529,0.8529,970.6351,888.79,552.0794,517.2393,2928.7437,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,22.0022,0.8475,0.7791,0.8475,1206.1136,943.09,1021.0973,586.0559,3756.3568,2.0,0.0,0.0,2.0,4.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,22.0621,0.826,0.7512,0.826,1243.497,744.5297,606.2169,600.2764,3194.5201,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,23.0023,0.8475,0.7791,0.8475,1286.1219,998.0957,1080.1034,620.0595,3984.3806,2.0,0.0,0.0,2.0,4.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,23.0621,0.826,0.7512,0.826,1314.503,793.5338,642.22,637.2796,3387.5363,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,23.4708,0.7741,0.8529,0.8529,1101.812,1008.4602,634.928,588.5811,3333.7813,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,24.0174,0.8475,0.7791,0.8475,1367.3361,1053.9305,1139.9989,654.5755,4215.8411,2.0,0.0,0.0,2.0,4.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,24.6027,0.7741,0.8529,0.8529,1166.3283,1067.3172,675.6751,623.6689,3532.9896,0.0,0.0,0.0,0.0,0.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,24.747,0.826,0.7512,0.826,1434.126,876.0905,702.8739,699.6183,3712.7087,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,25.0177,0.8475,0.7791,0.8475,1447.353,1108.9421,1199.0114,688.5827,4443.8892,2.0,0.0,0.0,2.0,4.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,25.6028,0.7936,0.8833,0.8833,1225.3366,1120.3246,711.6802,654.6733,3712.0146,6.0,0.0,0.0,0.0,6.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,26.6029,0.7936,0.8833,0.8833,1284.3416,1173.3292,747.6833,685.6759,3891.03,6.0,0.0,0.0,0.0,6.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,27.0728,0.8494,0.7822,0.8494,1613.8199,1221.9752,1320.2651,758.4577,4914.5179,2.0,0.0,0.0,2.0,4.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,27.474,0.826,0.7512,0.826,1627.7442,1009.7144,801.0465,800.5179,4239.023,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,27.603,0.7936,0.8833,0.8833,1343.3467,1226.3337,783.6863,716.6786,4070.0452,6.0,0.0,0.0,0.0,6.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,28.0729,0.8494,0.7822,0.8494,1694.8292,1276.9815,1379.2718,792.4616,5143.5442,2.0,0.0,0.0,2.0,4.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,28.6031,0.7936,0.8833,0.8833,1402.3519,1279.3383,819.6895,747.6813,4249.061,6.0,0.0,0.0,0.0,6.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,29.073,0.8494,0.7822,0.8494,1775.836,1331.9862,1438.2768,826.4645,5372.5635,2.0,0.0,0.0,2.0,4.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,29.6032,0.7936,0.8833,0.8833,1461.3564,1332.3424,855.6923,778.6837,4428.0748,6.0,0.0,0.0,0.0,6.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,30.0731,0.8425,0.7776,0.8425,1854.8435,1386.9914,1497.2824,860.4677,5599.585,4.0,0.0,0.0,2.0,6.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,30.3682,0.826,0.7512,0.826,1833.2293,1151.5281,905.2361,907.6017,4797.5953,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,30.6033,0.7936,0.8833,0.8833,1520.3628,1385.3482,891.6962,809.6871,4607.0943,6.0,0.0,0.0,0.0,6.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,31.0732,0.8425,0.7776,0.8425,1933.8506,1441.9963,1556.2877,894.4708,5826.6055,4.0,0.0,0.0,2.0,6.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,31.6034,0.7936,0.8833,0.8833,1579.3666,1438.3516,927.6985,840.6891,4786.1057,6.0,0.0,0.0,0.0,6.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,32.6034,0.7936,0.8833,0.8833,1638.3715,1491.356,963.7015,871.6916,4965.1206,6.0,0.0,0.0,0.0,6.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,33.6035,0.7936,0.8833,0.8833,1697.3772,1544.3611,999.7049,902.6946,5144.1378,6.0,0.0,0.0,0.0,6.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,34.6036,0.8026,0.9021,0.9021,1758.3829,1597.366,1035.7083,933.6975,5325.1548,7.0,0.0,0.0,0.0,7.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,34.6201,0.8425,0.7776,0.8425,2214.0534,1637.0742,1765.5531,1015.0643,6631.745,4.0,0.0,0.0,2.0,6.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,34.9613,0.826,0.7512,0.826,2159.3459,1376.5945,1070.5911,1077.5498,5684.0813,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,35.6037,0.8026,0.9021,0.9021,1819.3884,1650.3708,1071.7116,964.7003,5506.1711,7.0,0.0,0.0,0.0,7.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,36.6037,0.8026,0.9021,0.9021,1880.3897,1703.372,1107.7123,995.701,5687.175,7.0,0.0,0.0,0.0,7.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,36.6844,0.826,0.7512,0.826,2281.6838,1461.0249,1132.6215,1141.3034,6016.6336,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,37.6039,0.8026,0.9021,0.9021,1941.4002,1756.3811,1143.7185,1026.7063,5868.2062,7.0,0.0,0.0,0.0,7.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,37.6846,0.826,0.7512,0.826,2352.6937,1510.0317,1168.6265,1178.3085,6209.6605,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,37.9341,0.8425,0.7776,0.8425,2475.8666,1819.3492,1961.0844,1127.7434,7384.0436,4.0,0.0,0.0,2.0,6.0,7.5966,2.3503,4.1466,8.4844,5.4887
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,38.604,0.8026,0.9021,0.9021,2002.4078,1809.3877,1179.723,1057.7102,6049.2288,7.0,0.0,0.0,0.0,7.0,3.3097,1.201,3.6837,1.2714,2.5621
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,38.6846,0.826,0.7512,0.826,2423.6965,1559.0336,1204.628,1215.31,6402.6682,6.0,0.0,0.0,0.0,6.0,3.6761,4.5498,5.9271,0.854,3.971
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,39.6041,0.8026,0.9021,0.9021,2063.4129,1862.3921,1215.726,1088.7128,6230.2438,7.0,0.0,0.0,0.0,7.0,3.3097,1.201,3.6837,1.2714,2.5621
