scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,9.0009,0.6332,0.7035,0.6394,0.7068,48.0,43.0,21.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,9.0009,0.6595,0.5526,0.6937,0.5619,54.0,33.0,25.0,28.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.0009,0.6378,0.6272,0.6378,0.6272,55.0,42.0,49.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.001,0.6739,0.7347,0.6758,0.7363,49.0,46.0,23.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.001,0.6813,0.5797,0.712,0.5866,56.0,34.0,29.0,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.0011,0.6718,0.6548,0.6718,0.6548,62.0,43.0,52.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.0011,0.72,0.7813,0.72,0.7813,49.0,49.0,31.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.0011,0.7184,0.6497,0.7491,0.6566,61.0,37.0,29.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,12.0011,0.6993,0.6735,0.7037,0.7039,62.0,45.0,54.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,12.0012,0.7349,0.8098,0.7481,0.8462,50.0,51.0,34.0,27.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
