scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,0.0,0.2155,0.2255,0.2169,0.2263,19.3333,13.6667,11.0,5.6667,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.2255,0.2263,49.6667,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,1.0001,0.2373,0.2357,0.2373,0.2357,25.0,13.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2373,0.2373,55.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,1.0001,0.2837,0.2985,0.2837,0.2985,20.0,15.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.2985,53.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,1.0001,0.2469,0.2657,0.2469,0.2657,19.0,20.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2657,0.2657,67.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,2.0002,0.3065,0.2819,0.3084,0.2863,30.0,14.0,15.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3065,0.3084,66.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,2.0002,0.3162,0.402,0.3179,0.4098,22.0,19.0,9.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.402,0.4098,64.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,2.0002,0.2928,0.3209,0.2973,0.3224,23.0,22.0,19.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3209,0.3224,77.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,3.0003,0.3492,0.3296,0.3492,0.3296,34.0,17.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3492,0.3492,76.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,3.0003,0.366,0.4745,0.3782,0.4812,26.0,22.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4745,0.4812,74.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,3.0004,0.3328,0.3421,0.3328,0.3421,26.0,25.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3421,0.3421,87.0,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,4.0003,0.4182,0.3555,0.4182,0.3555,38.0,19.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4182,0.4182,86.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,4.0004,0.4178,0.5258,0.4209,0.5298,34.0,24.0,11.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5258,0.5298,86.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,4.0005,0.3576,0.3986,0.3593,0.4005,28.0,28.0,26.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3986,0.4005,97.0,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,5.0004,0.4628,0.4118,0.4718,0.4156,39.0,23.0,18.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4628,0.4718,97.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,5.0005,0.4961,0.5529,0.5062,0.5598,35.0,30.0,13.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5529,0.5598,96.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,5.0006,0.4295,0.4318,0.4295,0.4318,28.0,32.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4318,0.4318,108.0,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,6.0005,0.5253,0.4445,0.5253,0.4445,42.0,26.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5253,0.5253,107.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,6.0005,0.5559,0.5915,0.559,0.5944,36.0,34.0,18.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5915,0.5944,106.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,6.0008,0.4669,0.4629,0.4669,0.4629,30.0,33.0,35.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4669,0.4669,117.0,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,7.0006,0.5568,0.4857,0.5568,0.4857,46.0,28.0,21.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5568,0.5568,119.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,7.0006,0.5932,0.6471,0.595,0.6508,43.0,38.0,19.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6471,0.6508,118.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,7.0009,0.5061,0.4908,0.5089,0.4933,34.0,35.0,38.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5061,0.5089,126.0,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,8.0007,0.6105,0.5135,0.6155,0.521,49.0,32.0,25.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6105,0.6155,130.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,8.0007,0.6245,0.6946,0.6245,0.6946,48.0,41.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6946,0.6946,130.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,8.001,0.5367,0.5311,0.5367,0.5311,36.0,37.0,44.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5367,0.5367,138.0,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,9.0008,0.6586,0.7188,0.6605,0.7216,49.0,46.0,22.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7188,0.7216,140.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,9.0011,0.5678,0.5633,0.5678,0.5633,41.0,41.0,44.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5678,0.5678,149.0,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,9.0021,0.6549,0.551,0.6549,0.551,53.0,33.0,25.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6549,0.6549,139.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.001,0.7072,0.7659,0.7072,0.7659,49.0,48.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7659,0.7659,150.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.0013,0.5955,0.5912,0.5992,0.5929,45.0,42.0,46.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5955,0.5992,156.0,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.0022,0.6745,0.571,0.7052,0.5779,55.0,34.0,27.0,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6745,0.7052,147.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.001,0.7259,0.7978,0.7346,0.8211,49.0,51.0,32.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7978,0.8211,159.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.0014,0.6299,0.6208,0.6299,0.6208,54.0,42.0,48.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6299,0.6299,167.0,2.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.0022,0.7083,0.6389,0.739,0.6458,61.0,37.0,29.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7083,0.739,159.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,12.0011,0.755,0.8388,0.7636,0.8622,52.0,53.0,36.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8388,0.8622,169.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,12.0015,0.6543,0.6427,0.6543,0.6427,60.0,42.0,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6543,0.6543,176.0,2.0
