scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,0.0,0.0755,0.0866,0.0866,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.8055,,,,1.8055
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,1.0001,0.2496,0.2062,0.2496,31.0033,0.0,0.0,0.0,31.0033,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,1.0001,0.2984,0.358,0.358,40.0046,0.0,0.0,0.0,40.0046,0.0,,,,0.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,1.0001,0.1389,0.1424,0.1424,19.0025,0.0,0.0,0.0,19.0025,0.0,,,,0.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,2.0002,0.3278,0.2672,0.3278,74.0073,0.0,0.0,0.0,74.0073,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,2.0003,0.4127,0.4896,0.4896,92.0121,0.0,0.0,0.0,92.0121,0.0,,,,0.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,2.0003,0.2475,0.272,0.272,50.0071,0.0,0.0,0.0,50.0071,0.0,,,,0.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,3.0003,0.3239,0.3264,0.3264,88.0093,0.0,0.0,0.0,88.0093,0.0,,,,0.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,3.0004,0.4929,0.5765,0.5765,156.0181,0.0,0.0,0.0,156.0181,0.0,,,,0.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,3.0004,0.4369,0.3119,0.4369,127.0176,0.0,0.0,0.0,127.0176,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,4.0005,0.4264,0.4006,0.4264,138.0156,0.0,0.0,0.0,138.0156,0.0,,,,0.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,4.0005,0.5128,0.3573,0.5128,189.0245,0.0,0.0,0.0,189.0245,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,4.0005,0.5764,0.6481,0.6481,226.0292,0.0,0.0,0.0,226.0292,1.0,,,,1.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,5.0006,0.5228,0.488,0.5228,201.0218,0.0,0.0,0.0,201.0218,0.0,,,,0.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,5.0006,0.6009,0.4635,0.6009,263.0299,0.0,0.0,0.0,263.0299,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,5.0006,0.5989,0.6993,0.6993,302.0362,0.0,0.0,0.0,302.0362,1.0,,,,1.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,6.0006,0.6278,0.5351,0.6278,275.0282,0.0,0.0,0.0,275.0282,0.0,,,,0.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,6.0007,0.711,0.5729,0.711,349.0389,0.0,0.0,0.0,349.0389,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,6.0007,0.7261,0.7607,0.7607,389.0465,0.0,0.0,0.0,389.0465,1.0,,,,1.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,7.0008,0.6978,0.6056,0.6978,358.0369,0.0,0.0,0.0,358.0369,0.0,,,,0.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,7.0008,0.7846,0.6405,0.7846,444.051,0.0,0.0,0.0,444.051,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,7.0009,0.7802,0.8308,0.8308,487.0639,0.0,0.0,0.0,487.0639,1.0,,,,1.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,8.0008,0.7636,0.6754,0.7636,450.0442,0.0,0.0,0.0,450.0442,0.0,,,,0.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,8.0009,0.8158,0.6795,0.8158,546.0617,0.0,0.0,0.0,546.0617,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,8.0011,0.8587,0.8918,0.8918,596.0805,0.0,0.0,0.0,596.0805,1.0,,,,1.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,9.0009,0.7636,0.6754,0.7636,542.0543,0.0,0.0,0.0,542.0543,0.0,,,,0.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,9.0011,0.8434,0.7324,0.8434,652.0767,0.0,0.0,0.0,652.0767,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,9.0012,0.8587,0.8918,0.8918,705.0926,0.0,0.0,0.0,705.0926,1.0,,,,1.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,10.001,0.7892,0.6698,0.7892,633.063,0.0,0.0,0.0,633.063,3.0,,,,3.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,10.0012,0.8569,0.7457,0.8569,761.087,0.0,0.0,0.0,761.087,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,10.0013,0.8587,0.8918,0.8918,814.1098,0.0,0.0,0.0,814.1098,1.0,,,,1.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,11.0012,0.8128,0.6849,0.8128,728.0761,0.0,0.0,0.0,728.0761,3.0,,,,3.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,11.0013,0.875,0.7708,0.875,874.1055,0.0,0.0,0.0,874.1055,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,11.0014,0.8587,0.8918,0.8918,923.1197,0.0,0.0,0.0,923.1197,1.0,,,,1.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,12.0013,0.8001,0.6803,0.8001,822.0853,0.0,0.0,0.0,822.0853,4.0,,,,4.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,12.0014,0.8808,0.7747,0.8808,988.1137,0.0,0.0,0.0,988.1137,0.0,,,,0.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,12.0015,0.8587,0.8918,0.8918,1032.131,0.0,0.0,0.0,1032.131,1.0,,,,1.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,13.0013,0.8528,0.7116,0.8528,923.0927,0.0,0.0,0.0,923.0927,4.0,,,,4.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,13.0015,0.8755,0.7678,0.8755,1101.1261,0.0,0.0,0.0,1101.1261,1.0,,,,1.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,13.0016,0.8587,0.8918,0.8918,1141.1411,0.0,0.0,0.0,1141.1411,1.0,,,,1.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,14.0015,0.8946,0.7215,0.8946,1027.105,0.0,0.0,0.0,1027.105,5.0,,,,5.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,14.0016,0.8716,0.7601,0.8716,1213.1394,0.0,0.0,0.0,1213.1394,2.0,,,,2.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,14.0017,0.8148,0.8778,0.8778,1248.15,0.0,0.0,0.0,1248.15,4.0,,,,4.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,15.0015,0.8539,0.7106,0.8539,1128.1123,0.0,0.0,0.0,1128.1123,8.0,,,,8.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,15.0017,0.8716,0.7601,0.8716,1325.1503,0.0,0.0,0.0,1325.1503,2.0,,,,2.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,15.0018,0.8148,0.8778,0.8778,1355.1615,0.0,0.0,0.0,1355.1615,4.0,,,,4.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,16.0016,0.8711,0.7308,0.8711,1232.1215,0.0,0.0,0.0,1232.1215,8.0,,,,8.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,16.0019,0.8716,0.7601,0.8716,1437.1677,0.0,0.0,0.0,1437.1677,2.0,,,,2.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,16.0019,0.8148,0.8778,0.8778,1462.174,0.0,0.0,0.0,1462.174,4.0,,,,4.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,17.0018,0.8711,0.7308,0.8711,1336.1364,0.0,0.0,0.0,1336.1364,8.0,,,,8.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,17.002,0.8716,0.7601,0.8716,1549.1774,0.0,0.0,0.0,1549.1774,2.0,,,,2.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,17.002,0.8043,0.871,0.871,1567.1817,0.0,0.0,0.0,1567.1817,6.0,,,,6.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,18.0019,0.8571,0.7109,0.8571,1436.1461,0.0,0.0,0.0,1436.1461,12.0,,,,12.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,18.0021,0.8716,0.7601,0.8716,1661.194,0.0,0.0,0.0,1661.194,2.0,,,,2.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,18.0021,0.8043,0.871,0.871,1672.1941,0.0,0.0,0.0,1672.1941,6.0,,,,6.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,19.002,0.8936,0.7416,0.8936,1542.1551,0.0,0.0,0.0,1542.1551,13.0,,,,13.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,19.0022,0.8716,0.7601,0.8716,1773.207,0.0,0.0,0.0,1773.207,2.0,,,,2.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,19.0023,0.8043,0.871,0.871,1777.2096,0.0,0.0,0.0,1777.2096,6.0,,,,6.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,20.002,0.9411,0.7776,0.9411,1656.1647,0.0,0.0,0.0,1656.1647,13.0,,,,13.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,20.0023,0.8677,0.7527,0.8677,1884.2173,0.0,0.0,0.0,1884.2173,3.0,,,,3.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,20.0023,0.8694,0.9051,0.9051,1889.2175,0.0,0.0,0.0,1889.2175,6.0,,,,6.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,21.0021,0.9576,0.8014,0.9576,1774.1764,0.0,0.0,0.0,1774.1764,15.0,,,,15.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,21.0024,0.8901,0.9334,0.9334,2005.2274,0.0,0.0,0.0,2005.2274,6.0,,,,6.0,2.0859,,,,2.0859
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,21.0024,0.8677,0.7527,0.8677,1995.2286,0.0,0.0,0.0,1995.2286,3.0,,,,3.0,2.1573,,,,2.1573
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,22.0023,0.9652,0.8262,0.9652,1894.1965,0.0,0.0,0.0,1894.1965,15.0,,,,15.0,1.1732,,,,1.1732
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=1_arrival=4s,3,22.0025,0.8639,0.9293,0.9293,2120.2367,0.0,0.0,0.0,2120.2367,7.0,,,,7.0,2.0859,,,,2.0859
