scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,8.0007,0.5403,0.5362,0.5403,225.0199,228.0201,229.02,133.0118,815.0718,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,8.0007,0.6141,0.6845,0.6845,254.0228,216.0194,107.0096,130.0116,707.0635,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,8.0009,0.5741,0.4965,0.5741,297.0321,168.0181,140.0151,113.0121,718.0774,0.0,0.0,0.0,0.0,0.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,9.0008,0.5713,0.5664,0.5713,266.0233,270.0236,273.0236,156.0136,965.0841,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,9.0008,0.6348,0.7052,0.7052,302.0273,259.0234,129.0117,152.0136,842.076,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,9.001,0.6268,0.5316,0.6268,348.0388,200.0224,165.0184,140.0156,853.0953,0.0,0.0,0.0,0.0,0.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.0009,0.6741,0.7322,0.7322,351.032,305.0278,151.0138,179.0162,986.0898,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.0012,0.663,0.555,0.663,403.047,233.0273,190.0221,168.0198,994.1163,0.0,0.0,0.0,0.0,0.0,3.1992,3.1295,2.2323,2.1362,2.7714
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,10.0023,0.6085,0.5958,0.6085,310.0868,312.0842,321.0929,179.0468,1122.3106,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.001,0.72,0.7813,0.7813,400.036,354.0318,182.0163,206.0184,1142.1025,0.0,0.0,0.0,0.0,0.0,4.2151,4.2965,3.8704,3.462,4.018
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,11.0023,0.6313,0.6221,0.6313,364.0917,354.088,369.0972,202.0489,1289.3258,0.0,0.0,0.0,2.0,2.0,6.6613,5.581,3.2909,3.0644,4.8814
