scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,0.0,0.096,0.1244,0.129,0.1634,6.0,2.0,2.3333,1.6667,2.6667,2.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.1244,0.1634,12.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,1.0001,0.2251,0.2743,0.2295,0.2837,12.0,10.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2743,0.2837,32.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,1.0001,0.0796,0.0466,0.1839,0.1989,0.0,0.0,2.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0796,0.1989,8.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,1.0001,0.3299,0.3546,0.3299,0.3546,19.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546,0.3546,38.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,2.0002,0.4269,0.4371,0.4269,0.4371,23.0,12.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4371,0.4371,50.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,2.0002,0.2944,0.3443,0.2944,0.3443,15.0,13.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3443,0.3443,43.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,2.0003,0.3612,0.3261,0.3698,0.3452,12.0,11.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3612,0.3698,31.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,3.0003,0.3904,0.4368,0.3904,0.4368,18.0,16.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4368,0.4368,55.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,3.0004,0.5076,0.4962,0.5076,0.4962,27.0,14.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076,0.5076,59.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,3.0004,0.481,0.456,0.481,0.456,17.0,14.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481,0.481,43.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,4.0004,0.5582,0.5605,0.5582,0.5605,28.0,15.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5605,0.5605,65.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,4.0005,0.498,0.5222,0.5034,0.5255,19.0,18.0,18.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5222,0.5255,66.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,4.0005,0.5708,0.6254,0.5708,0.6254,20.0,16.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6254,0.6254,54.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,5.0005,0.6692,0.6459,0.6692,0.6459,35.0,16.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6692,0.6692,75.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,5.0006,0.5946,0.6448,0.6036,0.648,24.0,22.0,19.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6448,0.648,78.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,5.0006,0.601,0.7643,0.601,0.7643,18.0,19.0,10.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.7643,0.7643,61.0,3.0
mode=stablequeue2s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,6.0006,0.7984,0.7069,0.7984,0.7069,38.0,19.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7984,0.7984,85.0,0.0
