scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,8.0007,0.8902,0.748,0.8902,0.748,39.0,20.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8902,0.8902,93.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,8.0009,0.7958,0.834,0.8002,0.8596,28.0,28.0,31.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.834,0.8596,105.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,9.0008,0.9266,0.7781,0.9472,0.7816,39.0,24.0,19.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9266,0.9472,98.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,9.0008,0.6728,0.8796,0.6764,0.8893,25.0,19.0,11.0,14.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.8796,0.8893,69.0,4.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,9.001,0.8085,0.8398,0.8129,0.8654,28.0,28.0,31.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8398,0.8654,106.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,10.0009,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,10.0009,0.952,0.8014,0.9932,0.8086,40.0,29.0,19.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.9932,104.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,10.0012,0.8238,0.8627,0.8281,0.8883,31.0,28.0,32.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8627,0.8883,110.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,11.001,0.952,0.8014,0.9932,0.8086,40.0,29.0,19.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.9932,104.0,0.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,11.001,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,11.0013,0.8238,0.8627,0.8281,0.8883,31.0,28.0,32.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8627,0.8883,110.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,12.001,0.9483,0.7977,0.9896,0.8048,40.0,28.0,19.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9483,0.9896,103.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,12.0011,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,12.0014,0.8232,0.8588,0.8276,0.8844,31.0,28.0,32.0,19.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.8588,0.8844,110.0,3.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,13.0012,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,13.0015,0.8276,0.8689,0.832,0.8946,32.0,28.0,32.0,19.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.8689,0.8946,111.0,3.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,13.0644,0.9483,0.7977,0.9896,0.8048,40.0,28.0,19.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9483,0.9896,103.0,1.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,14.0012,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.848,0.848,68.0,6.0
mode=stablequeue2s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,14.0016,0.8276,0.8689,0.832,0.8946,32.0,28.0,32.0,19.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.8689,0.8946,111.0,3.0
