scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,0.0,0.2106,0.2203,0.2119,0.221,19.3333,13.6667,10.6667,4.6667,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,1.0001,0.2854,0.3127,0.2854,0.3127,20.0,16.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,1.0001,0.2476,0.2387,0.2476,0.2387,25.0,14.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,1.0002,0.2396,0.2511,0.2396,0.2511,18.0,18.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,2.0002,0.3162,0.402,0.3162,0.402,22.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,2.0003,0.285,0.3059,0.285,0.3059,29.0,15.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,2.0004,0.2817,0.2968,0.2817,0.2968,21.0,22.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,3.0003,0.3608,0.4697,0.3635,0.4714,25.0,23.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,3.0004,0.3695,0.3387,0.3695,0.3387,36.0,18.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,3.0005,0.3293,0.3484,0.3293,0.3484,26.0,24.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,4.0003,0.4161,0.5224,0.4161,0.5224,34.0,24.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,4.0005,0.4215,0.3587,0.4258,0.3606,38.0,19.0,18.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,4.0006,0.3577,0.3949,0.3577,0.3949,28.0,27.0,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,5.0004,0.4961,0.5529,0.4961,0.5529,35.0,30.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,5.0006,0.4783,0.4102,0.4783,0.4102,39.0,24.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,5.0007,0.3929,0.4261,0.3929,0.4261,28.0,29.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,6.0005,0.5559,0.5915,0.5559,0.5915,36.0,34.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,6.0007,0.5253,0.4445,0.5253,0.4445,42.0,26.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,6.0008,0.4578,0.4574,0.4578,0.4574,30.0,33.0,34.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,7.0006,0.5932,0.6471,0.595,0.6508,43.0,38.0,19.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,7.0008,0.5411,0.4707,0.5427,0.4729,44.0,27.0,20.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,7.0009,0.5052,0.4974,0.5052,0.4974,34.0,34.0,38.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,8.0007,0.6245,0.6946,0.6245,0.6946,48.0,41.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,8.0009,0.5934,0.5059,0.5934,0.5059,49.0,31.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,8.001,0.5403,0.5362,0.5403,0.5362,37.0,37.0,42.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,9.0007,0.648,0.7103,0.6675,0.7234,48.0,44.0,22.0,23.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,9.001,0.6502,0.5459,0.6502,0.5459,52.0,33.0,25.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,9.0011,0.5643,0.5602,0.5643,0.5602,41.0,40.0,44.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,10.0008,0.6963,0.7615,0.6963,0.7615,49.0,47.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,10.0011,0.6584,0.5534,0.7027,0.5773,54.0,33.0,25.0,28.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,10.0012,0.6085,0.5958,0.6085,0.5958,44.0,42.0,48.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,11.0009,0.6987,0.7632,0.7346,0.8211,49.0,47.0,29.0,27.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,11.0011,0.6584,0.5534,0.7304,0.6242,54.0,33.0,25.0,28.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=8s,3,11.0013,0.6329,0.6238,0.6329,0.6238,55.0,42.0,48.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
