timestamp,time_s,cpu_run_util,mem_run_util,cpu_req_util,mem_req_util,running_p1,running_p2,running_p3,running_p4,unsched_p1,unsched_p2,unsched_p3,unsched_p4,deletions_cum_p1,deletions_cum_p2,deletions_cum_p3,deletions_cum_p4
2026/02/04/06:19:02,5.633572,0.239250,0.210398,0.241719,0.211978,19,17,23,4,0,0,0,1,0,0,0,0
2026/02/04/06:19:03,6.634457,0.268625,0.245201,0.270719,0.248381,21,19,26,6,0,0,0,1,0,0,0,0
2026/02/04/06:19:04,7.635189,0.300281,0.290069,0.300281,0.290069,23,20,30,10,0,0,0,0,0,0,0,0
2026/02/04/06:19:05,8.636007,0.320875,0.322386,0.322875,0.324837,23,22,34,12,0,0,1,0,0,0,1,0
2026/02/04/06:19:06,9.636959,0.352719,0.373584,0.354594,0.381986,24,24,39,15,0,1,0,0,0,0,1,0
2026/02/04/06:19:07,10.637897,0.373312,0.403227,0.374937,0.409509,27,27,40,16,1,0,0,0,0,0,1,0
2026/02/04/06:19:08,11.638710,0.408906,0.444131,0.408906,0.444131,32,32,40,19,0,0,0,0,0,0,1,0
2026/02/04/06:19:09,12.639313,0.438312,0.481170,0.440406,0.483273,36,33,41,21,1,0,0,0,0,0,1,0
2026/02/04/06:19:10,13.640137,0.470344,0.542881,0.471938,0.552062,39,34,43,24,1,0,0,0,0,0,1,0
2026/02/04/06:19:11,14.640800,0.503781,0.576152,0.508625,0.579814,42,38,43,24,2,0,0,0,0,0,1,3
2026/02/04/06:19:12,15.641413,0.546000,0.611683,0.548750,0.613381,52,38,43,27,0,1,0,0,0,0,1,3
2026/02/04/06:19:13,16.642094,0.579438,0.656348,0.579438,0.656348,56,43,43,28,0,0,0,0,0,0,1,3
2026/02/04/06:19:14,17.642735,0.603656,0.700722,0.603656,0.700722,63,46,43,28,0,0,0,0,0,0,1,3
2026/02/04/06:19:15,18.643399,0.634750,0.734425,0.634750,0.734425,63,54,43,30,0,0,0,0,0,0,1,3
2026/02/04/06:19:16,19.644000,0.683688,0.762623,0.683688,0.762623,65,55,46,34,0,0,0,0,0,0,1,3
2026/02/04/06:19:17,20.644558,0.730094,0.801253,0.745594,0.807822,67,64,46,34,0,1,0,0,0,0,1,3
2026/02/04/06:19:18,21.645388,0.751719,0.829876,0.780813,0.869460,68,65,49,37,0,5,0,0,0,0,1,3
2026/02/04/06:19:19,22.645870,0.774531,0.849218,0.799687,0.886263,70,68,49,40,0,4,0,0,0,0,1,3
2026/02/04/06:19:20,23.646503,0.790219,0.860918,0.815375,0.897962,70,68,51,42,0,4,0,0,0,0,1,3
2026/02/04/06:19:21,24.647141,0.809844,0.864461,0.844812,0.903278,70,68,53,42,0,4,1,0,0,0,1,3
2026/02/04/06:19:22,25.647634,0.819656,0.866233,0.846500,0.909845,70,68,54,42,0,4,1,0,0,0,1,3
2026/02/04/06:19:23,26.648098,0.819656,0.866233,0.848187,0.916413,70,68,54,42,0,4,2,0,0,0,1,3
2026/02/04/06:19:24,27.648673,0.819656,0.866233,0.848187,0.916413,70,68,54,42,0,4,2,0,0,0,1,3
2026/02/04/06:19:25,28.649283,0.808125,0.864633,0.839187,0.914271,67,68,56,42,0,5,0,0,3,0,1,3
2026/02/04/06:19:26,29.649717,0.808125,0.864633,0.839187,0.914271,67,68,56,42,0,5,0,0,3,0,1,3
