regime_key,seed,run_name,row_label,plugin_mode,plugin_param_s,plugin_enforcement,with_default_preemption,T_common_s,p_hi,n_nodes,k_max,mean_arrival_s,delta_util_eff_mean,impr_util_eff_mean,delta_R_p1,impr_R_p1,delta_D_p1,impr_D_p1,delta_R_hi,impr_R_hi,delta_D_hi,impr_D_hi,delta_R_total,impr_R_total,delta_D_total,impr_D_total,delta_latency_mean_s,impr_latency_mean_s,delta_latency_p95_s,impr_latency_p95_s
nodes16_prio1_arrival16,1420052706459400740,nodes16_prio1_arrival16_modeperiodic8_blocking,Periodic (blk),periodic,8.0,blocking,False,7199.731788,1,16,1,16.0,0.023454906695018485,0.023454906695018485,7800.7427730000345,7800.7427730000345,0.0,-0.0,7800.7427730000345,7800.7427730000345,0.0,-0.0,7800.7427730000345,7800.7427730000345,0.0,-0.0,-0.9636446886446883,0.9636446886446883,22.499999999999886,-22.499999999999886
nodes16_prio1_arrival16,1420052706459400740,nodes16_prio1_arrival16_modeperiodic8_blocking_withdefaultpreemption,"Periodic (blk, defpreempt)",periodic,8.0,blocking,True,7199.3478700000005,1,16,1,16.0,0.02360943437423557,0.02360943437423557,7972.237899999949,7972.237899999949,0.0,-0.0,7972.237899999949,7972.237899999949,0.0,-0.0,7972.237899999949,7972.237899999949,0.0,-0.0,-1.6714678178963887,1.6714678178963887,14.350000000000037,-14.350000000000037
nodes16_prio1_arrival16,1420052706459400740,nodes16_prio1_arrival16_modeperiodic8_nonblocking,Periodic (non-blk),periodic,8.0,nonblocking,False,7199.180704,1,16,1,16.0,0.02379546555132439,0.02379546555132439,8187.805272000027,8187.805272000027,0.0,-0.0,8187.805272000027,8187.805272000027,0.0,-0.0,8187.805272000027,8187.805272000027,0.0,-0.0,-1.6150631283610002,1.6150631283610002,10.24999999999988,-10.24999999999988
nodes16_prio1_arrival16,1420052706459400740,nodes16_prio1_arrival16_modeperiodic8_nonblocking_withdefaultpreemption,"Periodic (non-blk, defpreempt)",periodic,8.0,nonblocking,True,7199.731788,1,16,1,16.0,0.023877920868596858,0.023877920868596858,7844.2589140000055,7844.2589140000055,0.0,-0.0,7844.2589140000055,7844.2589140000055,0.0,-0.0,7844.2589140000055,7844.2589140000055,0.0,-0.0,-1.3425125280673313,1.3425125280673313,19.750000000000114,-19.750000000000114
nodes16_prio1_arrival16,1420052706459400740,nodes16_prio1_arrival16_modestablequeue2_blocking,Stable-queue (blk),stable-queue,2.0,blocking,False,7199.537946,1,16,1,16.0,0.02524736289783802,0.02524736289783802,8831.121906000073,8831.121906000073,0.0,-0.0,8831.121906000073,8831.121906000073,0.0,-0.0,8831.121906000073,8831.121906000073,0.0,-0.0,-1.9697711708581274,1.9697711708581274,9.450000000000045,-9.450000000000045
nodes16_prio1_arrival16,1420052706459400740,nodes16_prio1_arrival16_modestablequeue2_blocking_withdefaultpreemption,"Stable-queue (blk, defpreempt)",stable-queue,2.0,blocking,True,7199.187175,1,16,1,16.0,0.025752619526347886,0.025752619526347886,8943.048960000044,8943.048960000044,0.0,-0.0,8943.048960000044,8943.048960000044,0.0,-0.0,8943.048960000044,8943.048960000044,0.0,-0.0,-2.351829773999585,2.351829773999585,10.350000000000023,-10.350000000000023
nodes16_prio1_arrival16,1420052706459400740,nodes16_prio1_arrival16_modestablequeue2_nonblocking,Stable-queue (non-blk),stable-queue,2.0,nonblocking,False,7199.6495540000005,1,16,1,16.0,0.023780347543217117,0.023780347543217117,8030.534315000055,8030.534315000055,0.0,-0.0,8030.534315000055,8030.534315000055,0.0,-0.0,8030.534315000055,8030.534315000055,0.0,-0.0,-1.230861773629277,1.230861773629277,9.549999999999955,-9.549999999999955
nodes16_prio1_arrival16,1420052706459400740,nodes16_prio1_arrival16_modestablequeue2_nonblocking_withdefaultpreemption,"Stable-queue (non-blk, defpreempt)",stable-queue,2.0,nonblocking,True,7199.5606689999995,1,16,1,16.0,0.025382943530611435,0.025382943530611435,8929.290856000036,8929.290856000036,0.0,-0.0,8929.290856000036,8929.290856000036,0.0,-0.0,8929.290856000036,8929.290856000036,0.0,-0.0,-1.9729520479520488,1.9729520479520488,16.350000000000023,-16.350000000000023
