util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean
90.0,8,32,4,4,1,nodes8_pods32_prio4_util090_timeout01,100,96,4,0.0400,86,0.8600,12,0.1200,30,0.3000,53,0.5300,1,0.0100,54,0.5400,0,0.0000,24250.0,281.9767,2.296,2.482,0.0239,0.0259
90.0,8,32,4,4,10,nodes8_pods32_prio4_util090_timeout10,100,96,4,0.0400,91,0.9100,8,0.0800,30,0.3000,58,0.5800,0,0.0000,58,0.5800,0,0.0000,36579.0,401.967,2.769,2.916,0.0288,0.0304
90.0,8,32,4,4,20,nodes8_pods32_prio4_util090_timeout20,100,96,4,0.0400,86,0.8600,12,0.1200,30,0.3000,53,0.5300,1,0.0100,54,0.5400,0,0.0000,40422.0,470.0233,2.406,2.544,0.0251,0.0265
90.0,8,64,8,1,1,nodes8_pods64_prio1_util090_timeout01,100,46,54,0.5400,36,0.3600,10,0.1000,8,0.0800,28,0.2800,0,0.0000,28,0.2800,0,0.0000,9251.0,256.9722,0.858,0.934,0.0187,0.0203
90.0,8,64,8,1,10,nodes8_pods64_prio1_util090_timeout10,100,45,55,0.5500,35,0.3500,10,0.1000,7,0.0700,28,0.2800,0,0.0000,28,0.2800,0,-0.0000,8759.0,250.2571,0.858,0.934,0.0191,0.0208
90.0,8,64,8,1,20,nodes8_pods64_prio1_util090_timeout20,100,45,55,0.5500,37,0.3700,8,0.0800,7,0.0700,30,0.3000,0,0.0000,30,0.3000,0,-0.0000,9930.0,268.3784,0.858,0.934,0.0191,0.0208
90.0,8,64,8,2,1,nodes8_pods64_prio2_util090_timeout01,100,42,58,0.5800,38,0.3800,4,0.0400,24,0.2400,14,0.1400,0,0.0000,14,0.1400,0,0.0000,8660.0,227.8947,0.333,0.334,0.0079,0.008
90.0,8,64,8,2,10,nodes8_pods64_prio2_util090_timeout10,100,36,64,0.6400,32,0.3200,4,0.0400,18,0.1800,14,0.1400,0,0.0000,14,0.1400,0,0.0000,7498.0,234.3125,0.333,0.334,0.0093,0.0093
90.0,8,64,8,2,20,nodes8_pods64_prio2_util090_timeout20,100,42,58,0.5800,37,0.3700,5,0.0500,24,0.2400,13,0.1300,0,0.0000,13,0.1300,0,0.0000,8492.0,229.5135,0.333,0.334,0.0079,0.008
90.0,8,64,8,4,1,nodes8_pods64_prio4_util090_timeout01,100,38,62,0.6200,36,0.3600,2,0.0200,25,0.2500,11,0.1100,0,0.0000,11,0.1100,0,0.0000,9932.0,275.8889,0.309,0.331,0.0081,0.0087
90.0,8,64,8,4,10,nodes8_pods64_prio4_util090_timeout10,100,36,64,0.6400,34,0.3400,2,0.0200,23,0.2300,11,0.1100,0,0.0000,11,0.1100,0,0.0000,9007.0,264.9118,0.309,0.331,0.0086,0.0092
90.0,8,64,8,4,20,nodes8_pods64_prio4_util090_timeout20,100,36,64,0.6400,34,0.3400,2,0.0200,23,0.2300,11,0.1100,0,0.0000,11,0.1100,0,0.0000,9055.0,266.3235,0.309,0.331,0.0086,0.0092
90.0,16,64,4,1,1,nodes16_pods64_prio1_util090_timeout01,100,99,1,0.0100,23,0.2300,78,0.7800,0,0.0000,1,0.0100,20,0.2000,21,0.2100,0,0.0000,21833.0,949.2609,0.863,0.822,0.0087,0.0083
90.0,16,64,4,1,10,nodes16_pods64_prio1_util090_timeout10,100,99,1,0.0100,96,0.9600,3,0.0300,0,0.0000,62,0.6200,34,0.3400,96,0.9600,0,0.0000,644771.0,6716.3646,6.659,6.001,0.0673,0.0606
90.0,16,64,4,1,20,nodes16_pods64_prio1_util090_timeout20,100,99,1,0.0100,98,0.9800,1,0.0100,0,0.0000,77,0.7700,21,0.2100,98,0.9800,0,0.0000,898163.0,9164.9286,6.859,6.238,0.0693,0.063
90.0,16,64,4,2,1,nodes16_pods64_prio2_util090_timeout01,100,99,1,0.0100,39,0.3900,74,0.7400,4,0.0400,12,0.1200,9,0.0900,21,0.2100,0,0.0000,33008.0,846.359,-0.29,-0.052,-0.0029,-0.0005
90.0,16,64,4,2,10,nodes16_pods64_prio2_util090_timeout10,100,99,1,0.0100,77,0.7700,24,0.2400,3,0.0300,68,0.6800,4,0.0400,72,0.7200,0,0.0000,199729.0,2593.8831,3.405,3.204,0.0344,0.0324
90.0,16,64,4,2,20,nodes16_pods64_prio2_util090_timeout20,100,99,1,0.0100,88,0.8800,12,0.1200,3,0.0300,77,0.7700,7,0.0700,84,0.8400,0,0.0000,375882.0,4271.3864,4.251,4.019,0.0429,0.0406
90.0,16,64,4,4,1,nodes16_pods64_prio4_util090_timeout01,100,99,1,0.0100,70,0.7000,34,0.3400,17,0.1700,38,0.3800,10,0.1000,48,0.4800,0,0.0000,42234.0,603.3429,0.679,0.885,0.0069,0.0089
90.0,16,64,4,4,10,nodes16_pods64_prio4_util090_timeout10,100,99,1,0.0100,92,0.9200,9,0.0900,16,0.1600,72,0.7200,2,0.0200,74,0.7400,0,0.0000,108623.0,1180.6848,2.483,2.269,0.0251,0.0229
90.0,16,64,4,4,20,nodes16_pods64_prio4_util090_timeout20,100,99,1,0.0100,85,0.8500,17,0.1700,15,0.1500,64,0.6400,3,0.0300,67,0.6700,0,0.0000,139797.0,1644.6706,2.064,1.972,0.0208,0.0199
90.0,16,128,8,1,1,nodes16_pods128_prio1_util090_timeout01,100,54,46,0.4600,45,0.4500,10,0.1000,13,0.1300,31,0.3100,0,0.0000,31,0.3100,0,-0.0000,26937.0,598.6,0.606,0.587,0.0112,0.0109
90.0,16,128,8,1,10,nodes16_pods128_prio1_util090_timeout10,100,54,46,0.4600,46,0.4600,8,0.0800,14,0.1400,32,0.3200,0,0.0000,32,0.3200,0,-0.0000,30244.0,657.4783,0.61,0.599,0.0113,0.0111
90.0,16,128,8,1,20,nodes16_pods128_prio1_util090_timeout20,100,53,47,0.4700,44,0.4400,9,0.0900,13,0.1300,31,0.3100,0,0.0000,31,0.3100,0,0.0000,40584.0,922.3636,0.61,0.599,0.0115,0.0113
90.0,16,128,8,2,1,nodes16_pods128_prio2_util090_timeout01,100,49,51,0.5100,45,0.4500,5,0.0500,18,0.1800,26,0.2600,0,0.0000,26,0.2600,0,0.0000,26559.0,590.2,0.361,0.361,0.0074,0.0074
90.0,16,128,8,2,10,nodes16_pods128_prio2_util090_timeout10,100,51,49,0.4900,44,0.4400,7,0.0700,21,0.2100,23,0.2300,0,0.0000,23,0.2300,0,0.0000,24491.0,556.6136,0.37,0.373,0.0073,0.0073
90.0,16,128,8,2,20,nodes16_pods128_prio2_util090_timeout20,100,50,50,0.5000,46,0.4600,4,0.0400,20,0.2000,26,0.2600,0,0.0000,26,0.2600,0,0.0000,26610.0,578.4783,0.37,0.373,0.0074,0.0075
90.0,16,128,8,4,1,nodes16_pods128_prio4_util090_timeout01,100,51,49,0.4900,44,0.4400,7,0.0700,30,0.3000,14,0.1400,0,0.0000,14,0.1400,0,0.0000,22886.0,520.1364,0.302,0.261,0.0059,0.0051
90.0,16,128,8,4,10,nodes16_pods128_prio4_util090_timeout10,100,49,51,0.5100,45,0.4500,4,0.0400,29,0.2900,16,0.1600,0,0.0000,16,0.1600,0,0.0000,29736.0,660.8,0.305,0.285,0.0062,0.0058
90.0,16,128,8,4,20,nodes16_pods128_prio4_util090_timeout20,100,52,48,0.4800,48,0.4800,4,0.0400,32,0.3200,16,0.1600,0,0.0000,16,0.1600,0,0.0000,25694.0,535.2917,0.305,0.285,0.0059,0.0055
90.0,32,128,4,1,1,nodes32_pods128_prio1_util090_timeout01,100,100,0,0.0000,3,0.0300,98,0.9800,0,0.0000,0,0.0000,2,0.0200,2,0.0200,0,0.0000,2948.0,982.6667,-0.045,0.116,-0.0004,0.0012
90.0,32,128,4,1,10,nodes32_pods128_prio1_util090_timeout10,100,100,0,0.0000,12,0.1200,88,0.8800,0,0.0000,2,0.0200,10,0.1000,12,0.1200,0,0.0000,107200.0,8933.3333,0.367,0.563,0.0037,0.0056
90.0,32,128,4,1,20,nodes32_pods128_prio1_util090_timeout20,100,100,0,0.0000,65,0.6500,37,0.3700,0,0.0000,1,0.0100,62,0.6200,63,0.6300,0,0.0000,1292325.0,19881.9231,2.741,2.955,0.0274,0.0296
