util,nodes,pods,pods_per_node,priorities,timeout_s,config_dir,n_seeds,n_seeds_not_all_running,n_default_all_running,default_all_running_rate,n_solver_called,solver_called_rate,n_solver_failed,solver_failed_rate,n_default_optimal,default_optimal_rate,n_solver_optimal,solver_optimal_rate,n_solver_feasible,solver_feasible_rate,n_solver_improve,solver_improve_rate,n_other,other_rate,solver_duration_ms_sum,solver_duration_ms_mean,cpu_delta_sum,mem_delta_sum,cpu_delta_mean,mem_delta_mean,default_all_running_rate_std,solver_called_rate_std,solver_failed_rate_std,default_optimal_rate_std,solver_optimal_rate_std,solver_feasible_rate_std,other_rate_std,solver_duration_ms_mean_std,cpu_delta_mean_std,mem_delta_mean_std
100.0,4,32,8,2,1,nodes4_pods32_prio2_util100_timeout01,100,100,0,0.0000,100,1.0000,4,0.0400,9,0.0900,48,0.4800,39,0.3900,87,0.8700,0,0.0000,124452.0,1244.52,3.866,3.357,0.0387,0.0336,0.0,0.0,0.1969463855669324,0.28762349126466136,0.5021167315686782,0.4902071300001973,0.0,306.574277255525,0.03723884688294895,0.028034702521242214
100.0,4,32,8,2,10,nodes4_pods32_prio2_util100_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,13,0.1300,81,0.8100,6,0.0600,87,0.8700,0,0.0000,192726.0,1927.26,3.995,3.362,0.0399,0.0336,0.0,0.0,0.0,0.33799766898963113,0.3942772444036626,0.23868325657594203,0.0,1559.3736350654942,0.03744096363043768,0.028841181275629763
100.0,4,32,8,2,20,nodes4_pods32_prio2_util100_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,14,0.1400,82,0.8200,4,0.0400,86,0.8600,0,0.0000,206823.0,2068.23,3.911,3.344,0.0391,0.0334,0.0,0.0,0.0,0.348735088019777,0.3861229196653691,0.19694638556693236,0.0,2103.2837474585385,0.03743112058005728,0.028753680484663882
100.0,4,32,8,4,1,nodes4_pods32_prio4_util100_timeout01,100,100,0,0.0000,100,1.0000,4,0.0400,39,0.3900,53,0.5300,4,0.0400,57,0.5700,0,0.0000,101716.0,1017.16,1.82,1.94,0.0182,0.0194,0.0,0.0,0.19694638556693236,0.4902071300001973,0.5016135580465918,0.19694638556693236,0.0,185.133297323247,0.03512804859339323,0.02986400150446327
100.0,4,32,8,4,10,nodes4_pods32_prio4_util100_timeout10,100,100,0,0.0000,100,1.0000,4,0.0400,39,0.3900,57,0.5700,0,0.0000,57,0.5700,0,0.0000,101401.0,1014.01,1.779,2.074,0.0178,0.0207,0.0,0.0,0.19694638556693236,0.4902071300001973,0.497569851956243,0.0,0.0,256.48094402209426,0.0354062412463102,0.030002902216521327
100.0,4,32,8,4,20,nodes4_pods32_prio4_util100_timeout20,100,100,0,0.0000,100,1.0000,2,0.0200,39,0.3900,59,0.5900,0,0.0000,59,0.5900,0,0.0000,105387.0,1053.87,2.01,2.097,0.0201,0.021,0.0,0.0,0.14070529413628965,0.4902071300001973,0.4943110704237103,0.0,0.0,455.7558192362186,0.03585281359146365,0.028419816318828634
100.0,8,32,4,1,1,nodes8_pods32_prio1_util100_timeout01,100,100,0,0.0000,100,1.0000,2,0.0200,0,0.0000,0,0.0000,98,0.9800,98,0.9800,0,0.0000,167379.0,1673.79,11.299,10.83,0.113,0.1083,0.0,0.0,0.14070529413628965,0.0,0.0,0.14070529413628965,0.0,89.63103888337528,0.052150035106566905,0.053624112622452355
100.0,8,32,4,1,10,nodes8_pods32_prio1_util100_timeout10,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,8,0.0800,91,0.9100,99,0.9900,0,0.0000,1021055.0,10210.55,12.23,11.817,0.1223,0.1182,0.0,0.0,0.09999999999999999,0.0,0.2726599243442907,0.2876234912646614,0.0,1599.9693581346164,0.04957995277500491,0.051461087584246945
100.0,8,32,4,1,20,nodes8_pods32_prio1_util100_timeout20,100,100,0,0.0000,100,1.0000,1,0.0100,0,0.0000,11,0.1100,88,0.8800,99,0.9900,0,0.0000,1896538.0,18965.38,12.382,11.694,0.1238,0.1169,0.0,0.0,0.09999999999999999,0.0,0.31446603773522014,0.32659863237109044,0.0,4464.762519909868,0.047997133752807036,0.05130830164975077
100.0,8,32,4,2,1,nodes8_pods32_prio2_util100_timeout01,100,100,0,0.0000,100,1.0000,4,0.0400,6,0.0600,29,0.2900,61,0.6100,90,0.9000,0,0.0000,145830.0,1458.3,5.844,5.313,0.0584,0.0531,0.0,0.0,0.19694638556693236,0.238683256575942,0.4560480215720687,0.4902071300001973,0.0,315.1269905958869,0.05084345552474743,0.04487820892553129
100.0,8,32,4,2,10,nodes8_pods32_prio2_util100_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,7,0.0700,60,0.6000,33,0.3300,93,0.9300,0,0.0000,489290.0,4892.9,6.377,5.909,0.0638,0.0591,0.0,0.0,0.0,0.2564323999762428,0.49236596391733095,0.4725815626252608,0.0,3985.1624924096996,0.04972243259365236,0.04438743452188179
100.0,8,32,4,2,20,nodes8_pods32_prio2_util100_timeout20,100,100,0,0.0000,100,1.0000,0,0.0000,7,0.0700,71,0.7100,22,0.2200,93,0.9300,0,0.0000,708313.0,7083.13,6.304,5.771,0.063,0.0577,0.0,0.0,0.0,0.2564323999762428,0.4560480215720687,0.41633319989322654,0.0,7440.290706081994,0.05044066821624204,0.04367957130621762
100.0,8,32,4,4,1,nodes8_pods32_prio4_util100_timeout01,100,100,0,0.0000,100,1.0000,2,0.0200,25,0.2500,55,0.5500,18,0.1800,73,0.7300,0,0.0000,115191.0,1151.91,2.745,2.414,0.0275,0.0241,0.0,0.0,0.14070529413628968,0.4351941398892446,0.5,0.38612291966536916,0.0,264.74096716785203,0.03664169259687162,0.032305992814293326
100.0,8,32,4,4,10,nodes8_pods32_prio4_util100_timeout10,100,100,0,0.0000,100,1.0000,2,0.0200,26,0.2600,68,0.6800,4,0.0400,72,0.7200,0,0.0000,165335.0,1653.35,2.85,2.528,0.0285,0.0253,0.0,0.0,0.14070529413628968,0.44084400227680803,0.4688261722621507,0.1969463855669324,0.0,1485.2618064968829,0.03603211250139426,0.032342572875422575
100.0,8,32,4,4,20,nodes8_pods32_prio4_util100_timeout20,100,100,0,0.0000,100,1.0000,2,0.0200,29,0.2900,67,0.6700,2,0.0200,69,0.6900,0,0.0000,176396.0,1763.96,2.562,2.327,0.0256,0.0233,0.0,0.0,0.14070529413628968,0.45604802157206864,0.47258156262526085,0.14070529413628965,0.0,1938.1063543593477,0.03513373583807157,0.03368896801115412
100.0,8,64,8,1,1,nodes8_pods64_prio1_util100_timeout01,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,172629.0,1726.29,5.597,5.336,0.056,0.0534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7360936058366,0.02588258452740339,0.023224212374245115
100.0,8,64,8,1,10,nodes8_pods64_prio1_util100_timeout10,100,100,0,0.0000,100,1.0000,0,0.0000,0,0.0000,0,0.0000,100,1.0000,100,1.0000,0,0.0000,1064351.0,10643.51,5.86,5.56,0.0586,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.78536614101333,0.026757043819140288,0.022815022518622503
