scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
default,nodes=32_prio=4_arrival=8s,3,9.0011,0.5788,0.5798,0.5798,278.0342,279.0345,293.0361,162.0201,1012.125,0.0,0.0,0.0,2.0,2.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,10.001,0.6791,0.5459,0.6791,394.0397,230.0231,188.0189,163.0163,975.0979,4.0,0.0,0.0,0.0,4.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,10.0012,0.6908,0.7568,0.7568,359.0443,316.0392,158.0195,182.0224,1015.1255,0.0,0.0,0.0,0.0,0.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,10.0012,0.6229,0.6109,0.6229,328.0386,321.0382,341.0403,185.0221,1175.1392,0.0,0.0,0.0,2.0,2.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,11.0011,0.6951,0.5685,0.6951,446.0434,266.0257,217.021,194.0185,1123.1086,4.0,0.0,0.0,0.0,4.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,11.0013,0.7189,0.7892,0.7892,407.0481,367.0433,189.022,209.0245,1172.1379,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,11.0014,0.6491,0.6387,0.6491,387.0492,363.0458,391.0494,208.0263,1349.1707,0.0,0.0,0.0,2.0,2.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,12.0012,0.7322,0.6385,0.7322,503.0527,305.0321,246.0257,228.024,1282.1345,4.0,0.0,0.0,0.0,4.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,12.0014,0.7338,0.8108,0.8108,456.0527,419.0482,223.0252,237.0272,1335.1532,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,12.0015,0.6838,0.6777,0.6838,449.0583,406.0521,445.0572,234.0301,1534.1977,0.0,0.0,0.0,2.0,2.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,13.0013,0.7871,0.6652,0.7871,562.0572,348.0354,279.0283,264.0268,1453.1477,5.0,0.0,0.0,0.0,5.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,13.0015,0.7638,0.8346,0.8346,507.0566,472.0522,259.0279,268.0295,1506.1662,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,13.0017,0.7162,0.7078,0.7162,512.0684,451.0593,501.0662,263.0347,1727.2286,1.0,0.0,0.0,2.0,3.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,14.0014,0.8338,0.701,0.8338,622.0641,391.0403,314.0323,304.0314,1631.1681,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,14.0016,0.7756,0.8409,0.8409,560.0654,525.061,295.0339,299.0347,1679.1951,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,14.0018,0.7576,0.7311,0.7576,578.0752,501.0644,557.072,295.038,1931.2496,1.0,0.0,0.0,2.0,3.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,15.0016,0.8448,0.7072,0.8448,684.0725,434.0461,349.037,344.0368,1811.1924,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,15.0017,0.7808,0.8467,0.8467,615.0709,578.0663,331.0375,330.0378,1854.2126,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,15.0019,0.794,0.7799,0.794,647.0811,551.0687,616.077,329.0409,2143.2678,4.0,0.0,0.0,2.0,6.0,2.6318,0.0853,0.073,0.0821,0.8747
default,nodes=32_prio=4_arrival=8s,3,16.0017,0.8596,0.7197,0.8596,746.0784,480.0505,385.0404,384.0406,1995.2099,8.0,0.0,0.0,0.0,8.0,1.222,0.0782,0.0735,0.0654,0.4461
default,nodes=32_prio=4_arrival=8s,3,16.0019,0.7857,0.8528,0.8528,671.0806,631.0755,367.0438,361.0432,2030.243,1.0,0.0,0.0,0.0,1.0,3.1547,0.0464,0.0548,0.0602,1.0684
default,nodes=32_prio=4_arrival=8s,3,16.002,0.8395,0.8078,0.8395,717.0912,606.0766,679.0861,363.0458,2365.2998,5.0,0.0,0.0,2.0,7.0,2.6318,0.0853,0.073,0.0821,0.8747
