scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
default,nodes=32_prio=4_arrival=16s,3,9.0011,0.6864,0.5494,0.6864,0.5494,53.0,35.0,25.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6864,0.6864,141.0,2.0
default,nodes=32_prio=4_arrival=16s,3,9.0011,0.6675,0.7234,0.6675,0.7234,49.0,46.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7234,0.7234,142.0,0.0
default,nodes=32_prio=4_arrival=16s,3,10.001,0.6354,0.6331,0.6354,0.6331,54.0,42.0,48.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6354,0.6354,169.0,0.0
default,nodes=32_prio=4_arrival=16s,3,10.0012,0.7047,0.5741,0.7047,0.5741,54.0,36.0,29.0,31.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7047,0.7047,150.0,2.0
default,nodes=32_prio=4_arrival=16s,3,10.0012,0.6987,0.7632,0.6987,0.7632,49.0,47.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7632,0.7632,152.0,0.0
default,nodes=32_prio=4_arrival=16s,3,11.0011,0.6652,0.6513,0.6652,0.6513,61.0,42.0,52.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6652,0.6652,179.0,2.0
default,nodes=32_prio=4_arrival=16s,3,11.0013,0.7462,0.6461,0.7462,0.6461,59.0,39.0,30.0,34.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7462,0.7462,162.0,2.0
default,nodes=32_prio=4_arrival=16s,3,11.0014,0.7209,0.7917,0.7296,0.8151,48.0,51.0,32.0,27.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7917,0.8151,158.0,1.0
default,nodes=32_prio=4_arrival=16s,3,12.0012,0.7015,0.6887,0.7015,0.6887,62.0,45.0,55.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7015,0.7015,190.0,2.0
default,nodes=32_prio=4_arrival=16s,3,12.0015,0.8057,0.6589,0.8057,0.6589,57.0,43.0,33.0,37.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.8057,0.8057,170.0,5.0
default,nodes=32_prio=4_arrival=16s,3,12.0016,0.7506,0.8242,0.7617,0.8581,50.0,53.0,36.0,29.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8242,0.8581,168.0,1.0
default,nodes=32_prio=4_arrival=16s,3,13.0013,0.7373,0.7209,0.7389,0.7229,64.0,48.0,56.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.7373,0.7389,199.0,3.0
default,nodes=32_prio=4_arrival=16s,3,13.0016,0.8313,0.6859,0.8462,0.7139,61.0,43.0,34.0,39.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.8313,0.8462,177.0,6.0
default,nodes=32_prio=4_arrival=16s,3,13.0017,0.7814,0.8563,0.7925,0.8902,55.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8563,0.8902,175.0,1.0
default,nodes=32_prio=4_arrival=16s,3,14.0015,0.7739,0.7549,0.7772,0.7587,68.0,50.0,57.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.7739,0.7772,208.0,3.0
default,nodes=32_prio=4_arrival=16s,3,14.0017,0.8586,0.707,0.8718,0.7332,66.0,43.0,35.0,40.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.8586,0.8718,184.0,6.0
default,nodes=32_prio=4_arrival=16s,3,14.0018,0.7814,0.8563,0.7925,0.8902,55.0,53.0,36.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8563,0.8902,175.0,1.0
