scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,eff_run_util_mean,R_cum_p1_mean,R_cum_p2_mean,R_cum_p3_mean,R_cum_p4_mean,R_cum_total_mean,D_cum_p1_mean,D_cum_p2_mean,D_cum_p3_mean,D_cum_p4_mean,D_cum_total_mean,latency_s_p1_mean,latency_s_p2_mean,latency_s_p3_mean,latency_s_p4_mean,latency_s_total_mean
default,nodes=32_prio=1_arrival=16s,3,0.0,0.2434,0.2244,0.255,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,10.6703,,,,10.6703
default,nodes=32_prio=1_arrival=16s,3,1.0001,0.2456,0.2291,0.2456,58.0058,0.0,0.0,0.0,58.0058,0.0,,,,0.0,16.539,,,,16.539
default,nodes=32_prio=1_arrival=16s,3,1.0001,0.2462,0.2858,0.2858,64.0068,0.0,0.0,0.0,64.0068,0.0,,,,0.0,5.2538,,,,5.2538
default,nodes=32_prio=1_arrival=16s,3,1.0002,0.3323,0.2645,0.3323,80.0134,0.0,0.0,0.0,80.0134,0.0,,,,0.0,10.2182,,,,10.2182
default,nodes=32_prio=1_arrival=16s,3,2.0002,0.2912,0.3268,0.3268,135.0128,0.0,0.0,0.0,135.0128,0.0,,,,0.0,5.2538,,,,5.2538
default,nodes=32_prio=1_arrival=16s,3,2.0002,0.2864,0.2561,0.2864,126.0142,0.0,0.0,0.0,126.0142,0.0,,,,0.0,16.539,,,,16.539
default,nodes=32_prio=1_arrival=16s,3,2.0003,0.367,0.2992,0.367,170.0219,0.0,0.0,0.0,170.0219,0.0,,,,0.0,10.2182,,,,10.2182
default,nodes=32_prio=1_arrival=16s,3,3.0003,0.3659,0.2826,0.3659,206.0183,0.0,0.0,0.0,206.0183,0.0,,,,0.0,16.539,,,,16.539
default,nodes=32_prio=1_arrival=16s,3,3.0003,0.337,0.3664,0.3664,216.0208,0.0,0.0,0.0,216.0208,0.0,,,,0.0,5.2538,,,,5.2538
default,nodes=32_prio=1_arrival=16s,3,3.0004,0.3936,0.3311,0.3936,266.036,0.0,0.0,0.0,266.036,0.0,,,,0.0,10.2182,,,,10.2182
default,nodes=32_prio=1_arrival=16s,3,4.0004,0.4288,0.3241,0.4288,297.0267,0.0,0.0,0.0,297.0267,0.0,,,,0.0,16.539,,,,16.539
default,nodes=32_prio=1_arrival=16s,3,4.0004,0.3799,0.404,0.404,309.03,0.0,0.0,0.0,309.03,0.0,,,,0.0,5.2538,,,,5.2538
default,nodes=32_prio=1_arrival=16s,3,4.0005,0.4198,0.3561,0.4198,372.0469,0.0,0.0,0.0,372.0469,0.0,,,,0.0,10.2182,,,,10.2182
default,nodes=32_prio=1_arrival=16s,3,5.0005,0.4177,0.4494,0.4494,415.039,0.0,0.0,0.0,415.039,0.0,,,,0.0,5.2538,,,,5.2538
default,nodes=32_prio=1_arrival=16s,3,5.0005,0.462,0.3723,0.462,396.0398,0.0,0.0,0.0,396.0398,0.0,,,,0.0,16.539,,,,16.539
default,nodes=32_prio=1_arrival=16s,3,5.0006,0.4691,0.415,0.4691,489.0575,0.0,0.0,0.0,489.0575,0.0,,,,0.0,10.2182,,,,10.2182
default,nodes=32_prio=1_arrival=16s,3,6.0006,0.5057,0.4041,0.5057,506.0465,0.0,0.0,0.0,506.0465,0.0,,,,0.0,16.539,,,,16.539
default,nodes=32_prio=1_arrival=16s,3,6.0006,0.4428,0.482,0.482,531.0513,0.0,0.0,0.0,531.0513,0.0,,,,0.0,5.2538,,,,5.2538
default,nodes=32_prio=1_arrival=16s,3,6.0007,0.5191,0.4599,0.5191,617.0707,0.0,0.0,0.0,617.0707,0.0,,,,0.0,10.2182,,,,10.2182
default,nodes=32_prio=1_arrival=16s,3,7.0007,0.5609,0.4708,0.5609,627.0597,0.0,0.0,0.0,627.0597,0.0,,,,0.0,16.539,,,,16.539
default,nodes=32_prio=1_arrival=16s,3,7.0007,0.4678,0.5047,0.5047,656.0721,0.0,0.0,0.0,656.0721,0.0,,,,0.0,5.2538,,,,5.2538
default,nodes=32_prio=1_arrival=16s,3,7.0008,0.574,0.4968,0.574,754.0826,0.0,0.0,0.0,754.0826,0.0,,,,0.0,10.2182,,,,10.2182
default,nodes=32_prio=1_arrival=16s,3,8.0008,0.6361,0.4932,0.6361,757.0812,0.0,0.0,0.0,757.0812,0.0,,,,0.0,16.539,,,,16.539
default,nodes=32_prio=1_arrival=16s,3,8.0008,0.5188,0.5382,0.5382,792.0846,0.0,0.0,0.0,792.0846,0.0,,,,0.0,5.2538,,,,5.2538
default,nodes=32_prio=1_arrival=16s,3,8.0009,0.6093,0.5417,0.6093,898.0987,0.0,0.0,0.0,898.0987,3.0,,,,3.0,10.2182,,,,10.2182
default,nodes=32_prio=1_arrival=16s,3,9.001,0.6648,0.5335,0.6648,897.1032,0.0,0.0,0.0,897.1032,0.0,,,,0.0,16.539,,,,16.539
default,nodes=32_prio=1_arrival=16s,3,9.001,0.5434,0.5797,0.5797,938.1072,0.0,0.0,0.0,938.1072,0.0,,,,0.0,5.2538,,,,5.2538
default,nodes=32_prio=1_arrival=16s,3,9.0011,0.6328,0.5922,0.6328,1052.122,0.0,0.0,0.0,1052.122,3.0,,,,3.0,10.2182,,,,10.2182
default,nodes=32_prio=1_arrival=16s,3,10.0011,0.5919,0.6197,0.6197,1096.1191,0.0,0.0,0.0,1096.1191,0.0,,,,0.0,5.2538,,,,5.2538
