scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean
default,nodes=16_prio=4_arrival=4s,3,11.0011,0.952,0.8014,0.9932,0.8086,40.0,29.0,19.0,16.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,11.0011,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,11.0012,0.8161,0.8566,0.832,0.8946,30.0,28.0,33.0,19.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,12.0012,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,12.0012,0.9483,0.7977,0.9896,0.8048,40.0,28.0,19.0,16.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,12.0012,0.8161,0.8566,0.832,0.8946,30.0,28.0,33.0,19.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,13.0013,0.9483,0.7977,1.0089,0.8252,40.0,28.0,19.0,16.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,13.0013,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,13.0014,0.8161,0.8566,0.832,0.8946,30.0,28.0,33.0,19.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,14.0014,0.9384,0.812,1.0089,0.8252,39.0,28.0,20.0,16.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,14.0014,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,14.0015,0.8161,0.8566,0.832,0.8946,30.0,28.0,33.0,19.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,15.0015,0.9456,0.8224,1.0268,0.842,39.0,28.0,23.0,16.0,4.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,15.0015,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,15.0016,0.8084,0.8425,0.8242,0.8805,28.0,28.0,33.0,19.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,16.0016,0.9412,0.8191,1.0516,0.8447,38.0,28.0,23.0,16.0,5.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,16.0016,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,16.0018,0.8084,0.8425,0.8242,0.8805,28.0,28.0,33.0,19.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,17.0017,0.9148,0.8251,1.0146,0.8444,39.0,29.0,20.0,16.0,4.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0
default,nodes=16_prio=4_arrival=4s,3,17.0017,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
default,nodes=16_prio=4_arrival=4s,3,17.0019,0.8084,0.8425,0.8242,0.8805,28.0,28.0,33.0,19.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
default,nodes=16_prio=4_arrival=4s,3,18.0018,0.9084,0.8131,1.0082,0.8323,37.0,29.0,20.0,16.0,4.0,0.0,0.0,0.0,9.0,1.0,3.0,0.0
default,nodes=16_prio=4_arrival=4s,3,18.0018,0.6548,0.848,0.6548,0.848,26.0,19.0,9.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
