scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,running_p2_mean,running_p3_mean,running_p4_mean,unsched_p1_mean,unsched_p2_mean,unsched_p3_mean,unsched_p4_mean,deletions_cum_p1_mean,deletions_cum_p2_mean,deletions_cum_p3_mean,deletions_cum_p4_mean,util_eff_run_mean,util_eff_req_mean,running_total_mean,deletions_cum_total_mean
default,nodes=32_prio=4_arrival=4s,3,0.0,0.2377,0.243,0.24,0.2472,20.0,14.0,12.0,7.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243,0.2472,53.3333,0.0
default,nodes=32_prio=4_arrival=4s,3,1.0001,0.2582,0.2562,0.261,0.2611,27.0,14.0,14.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2582,0.2611,61.0,0.0
default,nodes=32_prio=4_arrival=4s,3,1.0001,0.2964,0.3269,0.2964,0.3269,22.0,16.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3269,0.3269,58.0,0.0
default,nodes=32_prio=4_arrival=4s,3,1.0002,0.2627,0.2844,0.2627,0.2844,20.0,20.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2844,0.2844,70.0,0.0
default,nodes=32_prio=4_arrival=4s,3,2.0002,0.3178,0.3153,0.3178,0.3153,33.0,15.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3178,0.3178,72.0,0.0
default,nodes=32_prio=4_arrival=4s,3,2.0002,0.3351,0.4513,0.3351,0.4513,22.0,22.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4513,0.4513,69.0,0.0
default,nodes=32_prio=4_arrival=4s,3,2.0003,0.3119,0.3311,0.3119,0.3311,25.0,23.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311,0.3311,81.0,0.0
default,nodes=32_prio=4_arrival=4s,3,3.0003,0.3723,0.3427,0.3723,0.3427,36.0,19.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.3723,80.0,0.0
default,nodes=32_prio=4_arrival=4s,3,3.0004,0.3973,0.4949,0.3999,0.5033,29.0,24.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4949,0.5033,79.0,0.0
default,nodes=32_prio=4_arrival=4s,3,3.0004,0.346,0.3605,0.346,0.3605,28.0,25.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3605,0.3605,91.0,2.0
default,nodes=32_prio=4_arrival=4s,3,4.0005,0.4345,0.3644,0.4345,0.3644,38.0,19.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4345,0.4345,91.0,0.0
default,nodes=32_prio=4_arrival=4s,3,4.0005,0.449,0.5366,0.449,0.5366,35.0,26.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5366,0.5366,90.0,0.0
default,nodes=32_prio=4_arrival=4s,3,4.0006,0.3642,0.4101,0.3694,0.4145,28.0,29.0,28.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.4101,0.4145,100.0,2.0
default,nodes=32_prio=4_arrival=4s,3,5.0005,0.4916,0.4244,0.4916,0.4244,39.0,25.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916,0.4916,100.0,0.0
