pods_per_node,timeout_s,nodes,util,config_dir,default_all_running_rate,default_optimal_rate,solver_optimal_rate,solver_feasible_rate,solver_failed_rate,other_rate,solver_called_rate,solver_duration_ms_mean,cpu_delta_mean,mem_delta_mean,n_seeds
4,20,8,105.0,nodes8_pods32_prio1_util105_timeout20,0.0,0.0,7.0,93.0,0.0,0.0,100.0,19755.1,0.115,0.109,100
4,20,16,90.0,nodes16_pods64_prio1_util090_timeout20,1.0,0.0,79.0,19.0,1.0,0.0,99.0,8619.4,0.070,0.064,100
4,20,16,95.0,nodes16_pods64_prio1_util095_timeout20,0.0,0.0,2.0,97.0,1.0,0.0,100.0,20673.5,0.108,0.104,100
4,20,16,100.0,nodes16_pods64_prio1_util100_timeout20,0.0,0.0,0.0,100.0,0.0,0.0,100.0,20688.6,0.108,0.105,100
4,20,16,105.0,nodes16_pods64_prio1_util105_timeout20,0.0,0.0,0.0,100.0,0.0,0.0,100.0,20684.0,0.101,0.105,100
4,20,32,90.0,nodes32_pods128_prio1_util090_timeout20,0.0,0.0,24.0,48.0,28.0,0.0,100.0,19200.3,0.050,0.051,100
4,20,32,95.0,nodes32_pods128_prio1_util095_timeout20,0.0,0.0,0.0,75.0,25.0,0.0,100.0,20903.9,0.076,0.075,100
4,20,32,100.0,nodes32_pods128_prio1_util100_timeout20,0.0,0.0,0.0,92.0,8.0,0.0,100.0,20862.1,0.085,0.083,100
4,20,32,105.0,nodes32_pods128_prio1_util105_timeout20,0.0,0.0,0.0,94.0,6.0,0.0,100.0,20835.8,0.086,0.083,100
4,20,64,90.0,nodes64_pods256_prio1_util090_timeout20,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,-0.001,-0.001,100
4,20,64,95.0,nodes64_pods256_prio1_util095_timeout20,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,0.000,0.001,100
4,20,64,100.0,nodes64_pods256_prio1_util100_timeout20,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,0.001,-0.000,100
4,20,64,105.0,nodes64_pods256_prio1_util105_timeout20,0.0,0.0,0.0,0.0,100.0,0.0,0.0,--,0.001,0.001,100
8,1,4,90.0,nodes4_pods32_prio1_util090_timeout01,80.0,1.0,19.0,0.0,0.0,0.0,20.0,838.6,0.036,0.039,100
8,1,4,95.0,nodes4_pods32_prio1_util095_timeout01,15.0,1.0,80.0,0.0,4.0,0.0,85.0,961.6,0.043,0.047,100
8,1,4,100.0,nodes4_pods32_prio1_util100_timeout01,0.0,0.0,0.0,96.0,4.0,0.0,100.0,1526.4,0.046,0.042,100
8,1,4,105.0,nodes4_pods32_prio1_util105_timeout01,0.0,0.0,53.0,46.0,1.0,0.0,100.0,1354.0,0.047,0.048,100
8,1,8,90.0,nodes8_pods64_prio1_util090_timeout01,55.0,7.0,28.0,0.0,10.0,-0.0,45.0,1071.1,0.019,0.021,100
8,1,8,95.0,nodes8_pods64_prio1_util095_timeout01,1.0,1.0,76.0,19.0,3.0,0.0,99.0,1443.3,0.039,0.035,100
