pods_per_node,timeout_s,nodes,util,config_dir,default_all_running_rate,default_optimal_rate,solver_optimal_rate,solver_feasible_rate,solver_failed_rate,other_rate,solver_called_rate,solver_duration_ms_mean,cpu_delta_mean,mem_delta_mean,n_seeds
8,1,4,95.0,nodes4_pods32_prio1_util095_timeout01,15.0 ± 35.9,1.0 ± 10.0,80.0 ± 40.2,0.0 ± 0.0,4.0 ± 19.7,0.0 ± 0.0,85.0 ± 0.0,961.6 ± 181.6,0.043 ± 0.024,0.047 ± 0.027,100
8,1,4,100.0,nodes4_pods32_prio1_util100_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,96.0 ± 19.7,4.0 ± 19.7,0.0 ± 0.0,100.0 ± 0.0,1526.4 ± 148.2,0.046 ± 0.037,0.042 ± 0.031,100
8,1,4,105.0,nodes4_pods32_prio1_util105_timeout01,0.0 ± 0.0,0.0 ± 0.0,53.0 ± 50.2,46.0 ± 50.1,1.0 ± 10.0,0.0 ± 0.0,100.0 ± 0.0,1354.0 ± 295.8,0.047 ± 0.036,0.048 ± 0.034,100
8,1,8,90.0,nodes8_pods64_prio1_util090_timeout01,55.0 ± 50.0,7.0 ± 25.6,28.0 ± 45.1,0.0 ± 0.0,10.0 ± 30.2,-0.0 ± 0.0,45.0 ± 0.0,1071.1 ± 144.4,0.019 ± 0.015,0.021 ± 0.013,100
8,1,8,95.0,nodes8_pods64_prio1_util095_timeout01,1.0 ± 10.0,1.0 ± 10.0,76.0 ± 42.9,19.0 ± 39.4,3.0 ± 17.1,0.0 ± 0.0,99.0 ± 0.0,1443.3 ± 285.3,0.039 ± 0.026,0.035 ± 0.021,100
8,1,8,100.0,nodes8_pods64_prio1_util100_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,1726.3 ± 87.7,0.056 ± 0.026,0.053 ± 0.023,100
8,1,8,105.0,nodes8_pods64_prio1_util105_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,1698.4 ± 87.3,0.048 ± 0.025,0.048 ± 0.023,100
8,1,16,90.0,nodes16_pods128_prio1_util090_timeout01,46.0 ± 50.1,8.0 ± 27.3,12.0 ± 32.7,7.0 ± 25.6,27.0 ± 44.6,0.0 ± 0.0,54.0 ± 0.0,1629.7 ± 232.2,0.006 ± 0.013,0.006 ± 0.012,100
8,1,16,95.0,nodes16_pods128_prio1_util095_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,30.0 ± 46.1,70.0 ± 46.1,0.0 ± 0.0,100.0 ± 0.0,1616.9 ± 183.1,0.005 ± 0.016,0.004 ± 0.016,100
8,1,16,100.0,nodes16_pods128_prio1_util100_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,20.0 ± 40.2,80.0 ± 40.2,0.0 ± 0.0,100.0 ± 0.0,1544.6 ± 200.9,0.001 ± 0.012,0.002 ± 0.012,100
8,1,16,105.0,nodes16_pods128_prio1_util105_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,17.0 ± 37.8,83.0 ± 37.8,0.0 ± 0.0,100.0 ± 0.0,1544.8 ± 200.1,0.000 ± 0.010,0.002 ± 0.013,100
8,1,32,95.0,nodes32_pods256_prio1_util095_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,1309.0 ± 70.7,0.001 ± 0.007,0.001 ± 0.007,100
8,1,32,100.0,nodes32_pods256_prio1_util100_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,1274.1 ± 96.1,-0.001 ± 0.007,0.001 ± 0.007,100
8,1,32,105.0,nodes32_pods256_prio1_util105_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,1199.1 ± 90.9,0.000 ± 0.007,0.001 ± 0.007,100
8,1,64,90.0,nodes64_pods512_prio1_util090_timeout01,22.0 ± 41.6,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,78.0 ± 41.6,0.0 ± 0.0,0.0 ± 0.0,-- ± --,-0.001 ± 0.003,-0.000 ± 0.003,100
8,1,64,95.0,nodes64_pods512_prio1_util095_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,-0.000 ± 0.004,-0.000 ± 0.004,100
8,1,64,100.0,nodes64_pods512_prio1_util100_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,-0.001 ± 0.004,-0.001 ± 0.004,100
8,1,64,105.0,nodes64_pods512_prio1_util105_timeout01,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,0.000 ± 0.005,-0.000 ± 0.004,100
8,10,4,90.0,nodes4_pods32_prio1_util090_timeout10,79.0 ± 40.9,2.0 ± 14.1,16.0 ± 36.8,0.0 ± 0.0,3.0 ± 17.1,0.0 ± 0.0,21.0 ± 0.0,822.7 ± 54.1,0.035 ± 0.016,0.037 ± 0.015,100
8,10,4,95.0,nodes4_pods32_prio1_util095_timeout10,16.0 ± 36.8,0.0 ± 0.0,81.0 ± 39.4,0.0 ± 0.0,3.0 ± 17.1,0.0 ± 0.0,84.0 ± 0.0,917.2 ± 141.2,0.043 ± 0.024,0.048 ± 0.027,100
8,10,4,100.0,nodes4_pods32_prio1_util100_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,96.0 ± 19.7,4.0 ± 19.7,0.0 ± 0.0,100.0 ± 0.0,6227.1 ± 886.2,0.045 ± 0.036,0.043 ± 0.031,100
8,10,4,105.0,nodes4_pods32_prio1_util105_timeout10,0.0 ± 0.0,0.0 ± 0.0,70.0 ± 46.1,28.0 ± 45.1,2.0 ± 14.1,0.0 ± 0.0,100.0 ± 0.0,3620.9 ± 3426.2,0.049 ± 0.038,0.051 ± 0.036,100
8,10,8,90.0,nodes8_pods64_prio1_util090_timeout10,58.0 ± 49.6,4.0 ± 19.7,29.0 ± 45.6,0.0 ± 0.0,9.0 ± 28.8,0.0 ± 0.0,42.0 ± 0.0,1074.1 ± 219.2,0.020 ± 0.014,0.022 ± 0.012,100
8,10,8,95.0,nodes8_pods64_prio1_util095_timeout10,2.0 ± 14.1,0.0 ± 0.0,96.0 ± 19.7,2.0 ± 14.1,0.0 ± 0.0,0.0 ± 0.0,98.0 ± 0.0,1964.3 ± 1672.0,0.041 ± 0.025,0.037 ± 0.020,100
8,10,8,100.0,nodes8_pods64_prio1_util100_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,10643.5 ± 171.8,0.059 ± 0.027,0.056 ± 0.023,100
8,10,8,105.0,nodes8_pods64_prio1_util105_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,10637.0 ± 441.6,0.051 ± 0.025,0.051 ± 0.024,100
8,10,16,90.0,nodes16_pods128_prio1_util090_timeout10,48.0 ± 50.2,12.0 ± 32.7,33.0 ± 47.3,0.0 ± 0.0,7.0 ± 25.6,0.0 ± 0.0,52.0 ± 0.0,2011.0 ± 1135.1,0.012 ± 0.011,0.011 ± 0.009,100
8,10,16,95.0,nodes16_pods128_prio1_util095_timeout10,0.0 ± 0.0,0.0 ± 0.0,60.0 ± 49.2,39.0 ± 49.0,1.0 ± 10.0,0.0 ± 0.0,100.0 ± 0.0,7599.5 ± 3129.0,0.040 ± 0.015,0.039 ± 0.016,100
8,10,16,100.0,nodes16_pods128_prio1_util100_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,98.0 ± 14.1,2.0 ± 14.1,0.0 ± 0.0,100.0 ± 0.0,10755.0 ± 92.8,0.051 ± 0.019,0.051 ± 0.020,100
8,10,16,105.0,nodes16_pods128_prio1_util105_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,10705.6 ± 91.2,0.045 ± 0.021,0.048 ± 0.021,100
8,10,32,95.0,nodes32_pods256_prio1_util095_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,65.0 ± 47.9,35.0 ± 47.9,0.0 ± 0.0,100.0 ± 0.0,10750.0 ± 764.5,0.018 ± 0.019,0.018 ± 0.019,100
8,10,32,100.0,nodes32_pods256_prio1_util100_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,62.0 ± 48.8,38.0 ± 48.8,0.0 ± 0.0,100.0 ± 0.0,10751.1 ± 788.4,0.018 ± 0.020,0.017 ± 0.019,100
8,10,32,105.0,nodes32_pods256_prio1_util105_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,14.0 ± 34.9,86.0 ± 34.9,0.0 ± 0.0,100.0 ± 0.0,11015.6 ± 403.6,0.004 ± 0.013,0.005 ± 0.015,100
8,10,64,90.0,nodes64_pods512_prio1_util090_timeout10,25.0 ± 43.5,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,75.0 ± 43.5,0.0 ± 0.0,0.0 ± 0.0,-- ± --,0.000 ± 0.003,0.000 ± 0.003,100
8,10,64,95.0,nodes64_pods512_prio1_util095_timeout10,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,100.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,-- ± --,-0.000 ± 0.005,0.000 ± 0.004,100
