job_name,plugin_config,seed,priority,rs_prefix,replica_index,latency_default_s,latency_plugin_s,delta_latency_s,default_first_apply_time_s,default_first_running_time_s,plugin_first_apply_time_s,plugin_first_running_time_s,both_have_apply_time,both_have_running_time
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000119,0,1.0,0.0,-1.0,24.2178,25.2178,24.6471,24.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000119,1,0.0,0.0,0.0,24.2178,24.2178,24.6471,24.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000120,0,0.0,0.0,0.0,25.2178,25.2178,24.6471,24.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000120,1,0.0,0.0,0.0,25.2178,25.2178,25.6471,25.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000123,0,0.0,0.0,0.0,25.2178,25.2178,24.6471,24.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000123,1,0.0,0.0,0.0,25.2178,25.2178,25.6471,25.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000124,0,0.0,0.0,0.0,26.2178,26.2178,26.6471,26.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000125,0,0.0,0.0,0.0,30.2178,30.2178,29.6471,29.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000126,0,,,,82.2178,,81.6471,,1,0
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000129,0,0.0,0.0,0.0,82.2178,82.2178,81.6471,81.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000129,1,0.0,0.0,0.0,82.2178,82.2178,81.6471,81.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000129,2,0.0,0.0,0.0,82.2178,82.2178,81.6471,81.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000132,0,0.0,0.0,0.0,134.2178,134.2178,133.6471,133.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000132,1,1.0,0.0,-1.0,134.2178,135.2178,133.6471,133.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000135,0,,0.0,,263.2178,,262.6471,262.6471,1,0
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000135,1,0.0,0.0,0.0,263.2178,263.2178,262.6471,262.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000142,0,0.0,0.0,0.0,414.2178,414.2178,413.6471,413.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000142,1,0.0,0.0,0.0,415.2178,415.2178,414.6471,414.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000142,2,0.0,0.0,0.0,415.2178,415.2178,414.6471,414.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000145,0,0.0,0.0,0.0,602.2178,602.2178,601.6471,601.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000145,1,0.0,0.0,0.0,602.2178,602.2178,601.6471,601.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000154,0,0.0,0.0,0.0,928.2178,928.2178,926.6471,926.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000154,1,0.0,0.0,0.0,928.2178,928.2178,926.6471,926.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000159,0,0.0,0.0,0.0,1006.2178,1006.2178,1005.6471,1005.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000160,0,0.0,0.0,0.0,1006.2178,1006.2178,1005.6471,1005.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000160,1,,0.0,,,,1006.6471,1006.6471,0,0
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000165,0,1.0,0.0,-1.0,1007.2178,1008.2178,1006.6471,1006.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000165,1,0.0,0.0,0.0,1008.2178,1008.2178,1007.6471,1007.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000166,0,0.0,0.0,0.0,1008.2178,1008.2178,1006.6471,1006.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000166,1,0.0,0.0,0.0,1008.2178,1008.2178,1007.6471,1007.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000167,0,0.0,0.0,0.0,1008.2178,1008.2178,1007.6471,1007.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000167,1,1.0,0.0,-1.0,1008.2178,1009.2178,1007.6471,1007.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000167,2,0.0,0.0,0.0,1008.2178,1008.2178,1007.6471,1007.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000168,0,0.0,0.0,0.0,1009.2178,1009.2178,1007.6471,1007.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000168,1,0.0,0.0,0.0,1009.2178,1009.2178,1008.6471,1008.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000168,2,0.0,0.0,0.0,1009.2178,1009.2178,1008.6471,1008.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000169,0,0.0,0.0,0.0,1009.2178,1009.2178,1008.6471,1008.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000169,1,0.0,0.0,0.0,1009.2178,1009.2178,1008.6471,1008.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000169,2,0.0,0.0,0.0,1009.2178,1009.2178,1008.6471,1008.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000175,0,0.0,0.0,0.0,1086.2178,1086.2178,1085.6471,1085.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000175,1,0.0,0.0,0.0,1086.2178,1086.2178,1085.6471,1085.6471,1,1
nodes=32_prio=4_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,1420052706459400740,1,rs-000175,2,0.0,0.0,0.0,1086.2178,1086.2178,1085.6471,1085.6471,1,1
