timestamp,time_s,cpu_run_util,mem_run_util,cpu_req_util,mem_req_util,running_p1,unsched_p1,deletions_cum_p1
2026/01/28/22:26:20,2.062378,0.000000,0.000000,0.000000,0.000000,0,0,0
2026/01/28/22:26:21,3.062502,0.190938,0.175066,0.195125,0.183620,25,1,0
2026/01/28/22:26:22,4.062598,0.273313,0.303666,0.291687,0.307146,35,1,0
2026/01/28/22:26:23,5.062680,0.401438,0.376344,0.406625,0.380004,45,1,0
2026/01/28/22:26:24,6.062783,0.491250,0.458169,0.491250,0.458169,58,0,0
2026/01/28/22:26:25,7.062932,0.599125,0.524355,0.599125,0.524355,71,0,0
2026/01/28/22:26:26,8.063011,0.661312,0.569678,0.749062,0.587869,80,3,0
2026/01/28/22:26:27,9.063089,0.688875,0.644799,0.854437,0.677978,86,6,0
2026/01/28/22:26:28,10.063177,0.737688,0.670365,0.903250,0.703544,91,6,0
2026/01/28/22:26:29,11.063249,0.737688,0.670365,0.903250,0.703544,91,6,0
2026/01/28/22:26:30,12.063363,0.737688,0.670365,0.903250,0.703544,91,6,0
2026/01/28/22:26:31,13.063514,0.737688,0.670365,0.903250,0.703544,91,6,0
2026/01/28/22:26:32,14.063590,0.775563,0.715950,0.941125,0.749130,97,6,0
2026/01/28/22:26:33,15.063662,0.788250,0.720520,0.953812,0.753699,98,6,0
2026/01/28/22:26:34,16.063740,0.761250,0.685444,0.926813,0.718623,95,6,3
2026/01/28/22:26:35,17.063849,0.761250,0.685444,0.926813,0.718623,95,6,3
2026/01/28/22:26:36,18.063957,0.761250,0.685444,0.926813,0.718623,95,6,3
2026/01/28/22:26:37,19.064101,0.761250,0.685444,0.926813,0.718623,95,6,3
2026/01/28/22:26:38,20.064206,0.761250,0.685444,0.926813,0.718623,95,6,3
2026/01/28/22:26:39,21.064362,0.743437,0.676436,0.909000,0.709615,93,6,5
2026/01/28/22:26:40,22.064499,0.743437,0.676436,0.909000,0.709615,93,6,5
2026/01/28/22:26:41,23.064576,0.764312,0.683223,0.929875,0.716402,95,6,5
2026/01/28/22:26:42,24.064747,0.813438,0.722724,1.019750,0.763202,104,8,5
2026/01/28/22:26:43,25.064835,0.813438,0.722724,1.019750,0.763202,104,8,5
2026/01/28/22:26:44,26.064920,0.802375,0.711200,1.022250,0.755278,101,9,8
2026/01/28/22:26:45,27.065084,0.843063,0.722001,1.049375,0.762479,104,8,8
2026/01/28/22:26:46,28.065233,0.843063,0.722001,1.049375,0.762479,104,8,8
2026/01/28/22:26:47,29.065336,0.796500,0.699311,0.982437,0.736139,99,7,14
2026/01/28/22:26:48,30.065438,0.785625,0.688802,0.971562,0.725630,96,7,17
2026/01/28/22:26:49,31.065613,0.785625,0.688802,0.971562,0.725630,96,7,17
2026/01/28/22:26:50,32.065780,0.782500,0.679368,0.968437,0.716197,95,7,18
2026/01/28/22:26:51,33.065884,0.789625,0.685773,0.975562,0.722602,97,7,18
2026/01/28/22:26:52,34.065984,0.799625,0.699558,0.985563,0.736387,98,7,18
2026/01/28/22:26:53,35.066092,0.799625,0.699558,0.985563,0.736387,98,7,18
2026/01/28/22:26:54,36.066187,0.799625,0.699558,0.985563,0.736387,98,7,18
2026/01/28/22:26:55,37.066304,0.782687,0.682106,0.968625,0.718934,96,7,20
2026/01/28/22:26:56,38.066392,0.829187,0.726605,1.015125,0.763433,103,7,20
2026/01/28/22:26:57,39.066511,0.829187,0.726605,1.015125,0.763433,103,7,20
2026/01/28/22:26:58,40.066628,0.822625,0.714642,1.008563,0.751470,102,7,21
2026/01/28/22:26:59,41.066676,0.885188,0.791550,1.080250,0.865195,113,9,21
2026/01/28/22:27:00,42.066764,0.914937,0.831624,1.110750,0.902561,119,9,21
2026/01/28/22:27:01,43.066870,0.933562,0.869955,1.175125,0.939891,122,10,23
2026/01/28/22:27:02,44.066998,0.911375,0.852451,1.152937,0.922387,118,10,27
2026/01/28/22:27:03,45.067182,0.873875,0.833004,1.115438,0.902940,113,10,32
2026/01/28/22:27:04,46.067266,0.870250,0.807095,1.108188,0.851121,112,9,33
2026/01/28/22:27:05,47.067332,0.870250,0.807095,1.108188,0.851121,112,9,33
2026/01/28/22:27:06,48.067441,0.869750,0.803957,1.087312,0.844334,111,8,35
2026/01/28/22:27:07,49.067596,0.869750,0.803957,1.087312,0.844334,111,8,35
2026/01/28/22:27:08,50.067769,0.869750,0.803957,1.087312,0.844334,111,8,35
2026/01/28/22:27:09,51.067863,0.862062,0.800049,1.079625,0.840426,110,8,36
2026/01/28/22:27:10,52.068039,0.854375,0.796140,1.071937,0.836517,109,8,37
2026/01/28/22:27:11,53.068177,0.854375,0.796140,1.071937,0.836517,109,8,37
2026/01/28/22:27:12,54.068327,0.854375,0.796140,1.071937,0.836517,109,8,37
2026/01/28/22:27:13,55.068479,0.854375,0.796140,1.071937,0.836517,109,8,37
2026/01/28/22:27:14,56.068638,0.854375,0.796140,1.071937,0.836517,109,8,37
2026/01/28/22:27:15,57.068797,0.824750,0.773717,1.042312,0.814094,106,8,40
2026/01/28/22:27:16,58.068909,0.824750,0.773717,1.042312,0.814094,106,8,40
2026/01/28/22:27:17,59.069069,0.824750,0.773717,1.042312,0.814094,106,8,40
2026/01/28/22:27:18,60.069157,0.824750,0.773717,1.042312,0.814094,106,8,40
2026/01/28/22:27:19,61.069254,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:20,62.069373,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:21,63.069460,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:22,64.069627,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:23,65.069775,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:24,66.069934,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:25,67.070088,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:26,68.070213,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:27,69.070349,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:28,70.070457,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:29,71.070687,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:30,72.070666,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:31,73.110471,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:32,74.110584,0.814438,0.763605,1.032000,0.803982,103,8,43
2026/01/28/22:27:33,75.741378,0.825562,0.769866,1.043125,0.810243,105,8,43
2026/01/28/22:27:34,76.741499,0.825562,0.769866,1.043125,0.810243,105,8,43
2026/01/28/22:27:36,78.329637,0.825562,0.769866,1.043125,0.810243,105,8,43
2026/01/28/22:27:39,81.511908,0.825562,0.769866,1.043125,0.810243,105,8,43
2026/01/28/22:27:42,84.414651,0.809063,0.737147,1.026625,0.777524,102,8,46
