timestamp,time_s,cpu_run_util,mem_run_util,cpu_req_util,mem_req_util,running_p1,running_p2,running_p3,running_p4,unsched_p1,unsched_p2,unsched_p3,unsched_p4,deletions_cum_p1,deletions_cum_p2,deletions_cum_p3,deletions_cum_p4
2026/02/04/06:19:32,5.639971,0.228719,0.197951,0.231187,0.199531,18,17,21,2,0,0,0,1,0,0,0,0
2026/02/04/06:19:33,6.640833,0.264344,0.240241,0.264344,0.240241,21,19,26,5,0,0,0,0,0,0,0,0
2026/02/04/06:19:34,7.641732,0.293531,0.280121,0.295687,0.283117,23,20,28,10,0,1,0,0,0,0,0,0
2026/02/04/06:19:35,8.642466,0.315781,0.303846,0.317531,0.305728,23,22,34,10,0,0,0,1,0,0,0,0
2026/02/04/06:19:36,9.643272,0.340156,0.349576,0.340156,0.349576,24,22,38,12,0,0,0,0,0,0,0,0
2026/02/04/06:19:37,10.644182,0.355531,0.380231,0.360312,0.384474,25,26,39,12,0,0,1,0,0,0,0,0
2026/02/04/06:19:38,11.645025,0.376188,0.409092,0.379875,0.411440,28,29,40,13,0,1,0,0,0,0,0,0
2026/02/04/06:19:39,12.645780,0.406438,0.439294,0.406438,0.439294,31,32,40,17,0,0,0,0,0,0,0,0
2026/02/04/06:19:40,13.646433,0.436219,0.468787,0.436219,0.468787,37,33,40,19,0,0,0,0,0,0,0,0
2026/02/04/06:19:41,14.647188,0.491375,0.552677,0.491375,0.552677,40,36,43,22,0,0,0,0,0,0,0,0
2026/02/04/06:19:42,15.648199,0.491063,0.574207,0.493094,0.576233,45,36,43,24,1,0,0,0,0,2,0,0
2026/02/04/06:19:43,16.649070,0.522188,0.596701,0.522188,0.596701,49,39,43,28,0,0,0,0,0,2,0,0
2026/02/04/06:19:44,17.649898,0.551469,0.649954,0.551469,0.649954,56,41,43,28,0,0,0,0,0,2,0,0
2026/02/04/06:19:45,18.650548,0.577469,0.686548,0.579719,0.691887,60,46,43,29,0,0,0,1,0,2,0,0
2026/02/04/06:19:46,19.651171,0.609625,0.718147,0.612437,0.720306,61,52,43,32,0,0,0,1,0,2,0,0
2026/02/04/06:19:47,20.651791,0.656563,0.746981,0.658781,0.751532,63,54,46,34,0,1,0,0,0,2,0,0
