timestamp,time_s,cpu_run_util,mem_run_util,cpu_req_util,mem_req_util,running_p1,running_p2,running_p3,running_p4,unsched_p1,unsched_p2,unsched_p3,unsched_p4,deletions_cum_p1,deletions_cum_p2,deletions_cum_p3,deletions_cum_p4
2026/01/19/16:31:57,1.439109,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0
2026/01/19/16:31:58,2.439272,0.239937,0.230888,0.260250,0.236653,9,7,2,6,1,0,0,0,0,0,0,0
2026/01/19/16:31:59,3.439408,0.260250,0.236653,0.408062,0.380143,10,7,2,6,5,6,0,0,0,0,0,0
2026/01/19/16:32:00,4.439507,0.260250,0.236653,0.521062,0.521538,10,7,2,6,8,7,5,2,0,0,0,0
2026/01/19/16:32:01,5.439615,0.593250,0.705267,0.596625,0.733680,21,17,8,13,0,1,0,0,0,0,0,0
2026/01/19/16:32:02,6.439757,0.632313,0.804060,0.667125,0.877932,22,19,9,14,1,1,2,0,0,0,0,0
2026/01/19/16:32:03,7.439895,0.632313,0.804060,0.672125,0.883059,22,19,9,14,2,1,2,0,0,0,0,0
2026/01/19/16:32:04,8.440053,0.663625,0.863899,0.663625,0.863899,23,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:05,9.440204,0.677250,0.888856,0.682375,0.894652,25,20,11,14,1,0,0,0,1,0,0,0
2026/01/19/16:32:06,10.440379,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:07,11.440522,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:08,12.440631,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:09,13.440796,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:10,14.440903,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:11,15.441052,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:12,16.441204,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:13,17.441392,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:14,18.441531,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:15,19.441641,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:16,20.441727,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:17,21.441885,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:18,22.441988,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:19,23.442094,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:20,24.442199,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:21,25.442289,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:22,26.442427,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:23,27.442618,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
2026/01/19/16:32:24,28.442687,0.682375,0.894652,0.682375,0.894652,26,20,11,14,0,0,0,0,1,0,0,0
