config,nodes,pods,priorities,util,timeout_s,n_seeds,n_cp_sat_wins,n_gurobi_wins,n_ties,n_both_failed,cp_sat_win_rate,gurobi_win_rate,avg_cp_sat_duration_ms,avg_gurobi_duration_ms,speed_ratio,winner
nodes8_pods32_prio4_util100_timeout10,8,32,4,100,10,100,6,2,92,0,0.0600,0.0200,1653.3,nan,inf,cp_sat
nodes8_pods32_prio4_util100_timeout20,8,32,4,100,20,100,7,8,85,0,0.0700,0.0800,1764.0,nan,inf,gurobi
nodes8_pods32_prio4_util105_timeout01,8,32,4,105,1,100,12,6,82,0,0.1200,0.0600,1208.2,nan,inf,cp_sat
nodes8_pods32_prio4_util105_timeout10,8,32,4,105,10,100,7,5,88,0,0.0700,0.0500,1639.6,nan,inf,cp_sat
nodes8_pods32_prio4_util105_timeout20,8,32,4,105,20,100,8,3,89,0,0.0800,0.0300,2005.2,nan,inf,cp_sat
nodes8_pods64_prio1_util090_timeout01,8,64,1,90,1,100,8,8,27,57,0.0800,0.0800,nan,nan,inf,tie
nodes8_pods64_prio1_util090_timeout10,8,64,1,90,10,100,5,1,28,66,0.0500,0.0100,nan,nan,inf,cp_sat
nodes8_pods64_prio1_util090_timeout20,8,64,1,90,20,100,15,7,26,52,0.1500,0.0700,nan,nan,inf,cp_sat
nodes8_pods64_prio1_util095_timeout01,8,64,1,95,1,100,1,2,95,2,0.0100,0.0200,nan,nan,inf,gurobi
nodes8_pods64_prio1_util095_timeout10,8,64,1,95,10,100,1,1,97,1,0.0100,0.0100,nan,nan,inf,tie
nodes8_pods64_prio1_util095_timeout20,8,64,1,95,20,100,2,1,96,1,0.0200,0.0100,nan,nan,inf,cp_sat
nodes8_pods64_prio1_util100_timeout01,8,64,1,100,1,100,85,0,15,0,0.8500,0.0000,1726.3,nan,inf,cp_sat
nodes8_pods64_prio1_util100_timeout10,8,64,1,100,10,100,31,0,69,0,0.3100,0.0000,10643.5,9714.3,1.10,cp_sat
nodes8_pods64_prio1_util100_timeout20,8,64,1,100,20,100,6,0,94,0,0.0600,0.0000,20441.0,18427.0,1.11,cp_sat
nodes8_pods64_prio1_util105_timeout01,8,64,1,105,1,100,79,0,21,0,0.7900,0.0000,1698.4,nan,inf,cp_sat
nodes8_pods64_prio1_util105_timeout10,8,64,1,105,10,100,42,0,58,0,0.4200,0.0000,10637.0,nan,inf,cp_sat
nodes8_pods64_prio1_util105_timeout20,8,64,1,105,20,100,20,0,80,0,0.2000,0.0000,20585.1,13732.7,1.50,cp_sat
nodes8_pods64_prio2_util090_timeout01,8,64,2,90,1,100,13,7,22,58,0.1300,0.0700,nan,nan,inf,cp_sat
nodes8_pods64_prio2_util090_timeout10,8,64,2,90,10,100,4,14,27,55,0.0400,0.1400,nan,nan,inf,gurobi
nodes8_pods64_prio2_util090_timeout20,8,64,2,90,20,100,4,8,28,60,0.0400,0.0800,nan,nan,inf,gurobi
nodes8_pods64_prio2_util095_timeout01,8,64,2,95,1,100,3,1,95,1,0.0300,0.0100,nan,nan,inf,cp_sat
nodes8_pods64_prio2_util095_timeout10,8,64,2,95,10,100,1,1,97,1,0.0100,0.0100,nan,nan,inf,tie
nodes8_pods64_prio2_util095_timeout20,8,64,2,95,20,100,2,3,95,0,0.0200,0.0300,nan,nan,inf,gurobi
nodes8_pods64_prio2_util100_timeout01,8,64,2,100,1,100,60,15,24,1,0.6000,0.1500,1809.4,nan,inf,cp_sat
nodes8_pods64_prio2_util100_timeout10,8,64,2,100,10,100,9,5,86,0,0.0900,0.0500,10124.2,nan,inf,cp_sat
nodes8_pods64_prio2_util100_timeout20,8,64,2,100,20,100,7,1,92,0,0.0700,0.0100,18609.6,nan,inf,cp_sat
nodes8_pods64_prio2_util105_timeout01,8,64,2,105,1,100,54,6,40,0,0.5400,0.0600,1714.6,905.7,1.89,cp_sat
nodes8_pods64_prio2_util105_timeout10,8,64,2,105,10,100,24,1,75,0,0.2400,0.0100,10272.7,nan,inf,cp_sat
nodes8_pods64_prio2_util105_timeout20,8,64,2,105,20,100,10,1,89,0,0.1000,0.0100,19227.3,nan,inf,cp_sat
nodes8_pods64_prio4_util090_timeout01,8,64,4,90,1,100,9,7,25,59,0.0900,0.0700,nan,nan,inf,cp_sat
nodes8_pods64_prio4_util090_timeout10,8,64,4,90,10,100,10,8,25,57,0.1000,0.0800,nan,nan,inf,cp_sat
nodes8_pods64_prio4_util090_timeout20,8,64,4,90,20,100,7,10,23,60,0.0700,0.1000,nan,nan,inf,gurobi
nodes8_pods64_prio4_util095_timeout01,8,64,4,95,1,100,7,6,86,1,0.0700,0.0600,nan,nan,inf,cp_sat
nodes8_pods64_prio4_util095_timeout10,8,64,4,95,10,100,9,4,87,0,0.0900,0.0400,1508.1,nan,inf,cp_sat
nodes8_pods64_prio4_util095_timeout20,8,64,4,95,20,100,5,8,87,0,0.0500,0.0800,1735.1,nan,inf,gurobi
nodes8_pods64_prio4_util100_timeout01,8,64,4,100,1,100,15,18,67,0,0.1500,0.1800,1574.5,nan,inf,gurobi
nodes8_pods64_prio4_util100_timeout10,8,64,4,100,10,100,16,15,69,0,0.1600,0.1500,5010.8,nan,inf,cp_sat
nodes8_pods64_prio4_util100_timeout20,8,64,4,100,20,100,16,10,74,0,0.1600,0.1000,7872.0,nan,inf,cp_sat
nodes8_pods64_prio4_util105_timeout01,8,64,4,105,1,100,18,23,59,0,0.1800,0.2300,1559.7,532.0,2.93,gurobi
nodes8_pods64_prio4_util105_timeout10,8,64,4,105,10,100,14,17,69,0,0.1400,0.1700,6209.4,1522.3,4.08,gurobi
nodes8_pods64_prio4_util105_timeout20,8,64,4,105,20,100,10,12,78,0,0.1000,0.1200,9436.7,2072.9,4.55,gurobi
