job_name,plugin_config,n_seed,T_end_s_mean,delta_U_pct_cpu_mean,delta_U_pct_mem_mean,delta_U_pct_eff_mean,delta_R_num_p1_mean,delta_R_num_p2_mean,delta_R_num_p3_mean,delta_R_num_p4_mean,delta_R_num_total_mean,delta_D_num_p1_mean,delta_D_num_p2_mean,delta_D_num_p3_mean,delta_D_num_p4_mean,delta_D_num_total_mean,delta_L_ms_p1_mean,delta_L_ms_p2_mean,delta_L_ms_p3_mean,delta_L_ms_p4_mean,delta_L_ms_total_mean,solver_attempts_mean,solver_optimal_mean,solver_feasible_mean,solver_failed_mean,plan_not_applicable_mean,plan_activated_mean,T_end_s_std,delta_U_pct_cpu_std,delta_U_pct_mem_std,delta_U_pct_eff_std,delta_R_num_p1_std,delta_R_num_p2_std,delta_R_num_p3_std,delta_R_num_p4_std,delta_R_num_total_std,delta_D_num_p1_std,delta_D_num_p2_std,delta_D_num_p3_std,delta_D_num_p4_std,delta_D_num_total_std,delta_L_ms_p1_std,delta_L_ms_p2_std,delta_L_ms_p3_std,delta_L_ms_p4_std,delta_L_ms_total_std,solver_attempts_std,solver_optimal_std,solver_feasible_std,solver_failed_std,plan_not_applicable_std,plan_activated_std
nodes=16_prio=1_arrival=16s,mode=periodic8s_blocking=1_defpreempt=1,3,7199.3973,3.4535,1.627,3.4004,1.3614,0.0,0.0,0.0,1.3614,35.0,,,,35.0,-2844.8213,,,,-2844.8213,54.0,26.0,4.0,24.0,0.0,30.0,0.2716,0.849,0.6691,0.7342,0.2016,0.0,0.0,0.0,0.2016,16.5227,,,,16.5227,1649.3181,,,,1649.3181,18.0278,1.7321,4.3589,12.49,0.0,5.5678
nodes=16_prio=1_arrival=16s,mode=schedulingfailure_blocking=0_defpreempt=0,3,7199.8247,3.3903,1.5399,3.3543,1.1385,0.0,0.0,0.0,1.1385,-1.3333,,,,-1.3333,-235.0588,,,,-235.0588,119.0,56.0,11.3333,51.6667,1.0,66.3333,0.0517,0.8707,0.6934,0.7257,0.1429,0.0,0.0,0.0,0.1429,30.0389,,,,30.0389,2145.5773,,,,2145.5773,25.5147,7.2111,11.8462,8.5049,0.0,17.8979
nodes=16_prio=1_arrival=16s,mode=schedulingfailure_blocking=0_defpreempt=1,3,7199.6045,3.3703,1.5453,3.3401,1.1101,0.0,0.0,0.0,1.1101,-13.0,,,,-13.0,33.4578,,,,33.4578,124.6667,60.0,9.3333,55.3333,1.0,68.3333,0.2225,0.9135,0.744,0.8031,0.2513,0.0,0.0,0.0,0.2513,8.6603,,,,8.6603,870.5393,,,,870.5393,26.9506,14.5258,7.5056,5.5076,1.0,20.8407
nodes=16_prio=1_arrival=16s,mode=schedulingfailure_blocking=1_defpreempt=0,3,7199.3622,3.4194,1.5795,3.3731,1.1722,0.0,0.0,0.0,1.1722,7.6667,,,,7.6667,-688.0517,,,,-688.0517,117.0,57.0,11.0,49.0,0.6667,67.3333,0.4018,0.9177,0.6463,0.7568,0.1335,0.0,0.0,0.0,0.1335,27.4651,,,,27.4651,2600.0996,,,,2600.0996,31.4325,15.8745,6.0828,10.8167,1.1547,20.7926
nodes=16_prio=1_arrival=16s,mode=schedulingfailure_blocking=1_defpreempt=1,3,7199.7231,3.3115,1.4735,3.2509,1.0622,0.0,0.0,0.0,1.0622,-17.6667,,,,-17.6667,57.0988,,,,57.0988,118.0,53.6667,8.6667,55.6667,0.3333,62.0,0.1532,0.8991,0.5899,0.7454,0.033,0.0,0.0,0.0,0.033,29.9555,,,,29.9555,2732.2764,,,,2732.2764,26.2298,9.2916,5.5076,13.3167,0.5774,13.5277
nodes=16_prio=1_arrival=16s,mode=stablequeue16s_blocking=0_defpreempt=0,3,7199.6361,3.2778,1.5105,3.2035,1.2304,0.0,0.0,0.0,1.2304,-1.6667,,,,-1.6667,-1578.2272,,,,-1578.2272,41.6667,16.0,0.3333,25.3333,0.0,16.3333,0.3131,0.8561,0.6195,0.7068,0.1242,0.0,0.0,0.0,0.1242,30.6649,,,,30.6649,2461.7216,,,,2461.7216,7.7675,4.3589,0.5774,11.0604,0.0,4.7258
nodes=16_prio=1_arrival=16s,mode=stablequeue16s_blocking=0_defpreempt=1,3,7199.5281,3.3434,1.4806,3.2894,1.2209,0.0,0.0,0.0,1.2209,-12.6667,,,,-12.6667,-1852.457,,,,-1852.457,50.3333,16.3333,0.6667,33.3333,0.0,17.0,0.4218,1.0763,0.5678,0.9355,0.1479,0.0,0.0,0.0,0.1479,33.3067,,,,33.3067,2417.4127,,,,2417.4127,13.5769,2.5166,1.1547,17.1561,0.0,3.6056
nodes=16_prio=1_arrival=16s,mode=stablequeue16s_blocking=1_defpreempt=0,3,7199.718,3.1669,1.4295,3.1206,1.1617,0.0,0.0,0.0,1.1617,-17.0,,,,-17.0,-1219.5449,,,,-1219.5449,44.6667,14.3333,0.6667,29.6667,0.0,15.0,0.0983,0.9941,0.522,0.8182,0.1943,0.0,0.0,0.0,0.1943,24.2693,,,,24.2693,2796.2182,,,,2796.2182,13.6504,2.5166,1.1547,12.7017,0.0,1.7321
nodes=16_prio=1_arrival=16s,mode=stablequeue16s_blocking=1_defpreempt=1,3,7199.4484,3.3504,1.4902,3.2637,1.2367,0.0,0.0,0.0,1.2367,-11.0,,,,-11.0,-1993.0411,,,,-1993.0411,44.3333,16.6667,1.3333,26.3333,0.0,18.0,0.1295,1.0206,0.5115,0.9142,0.1087,0.0,0.0,0.0,0.1087,26.6646,,,,26.6646,2858.7983,,,,2858.7983,9.8658,3.2146,1.5275,10.6927,0.0,1.7321
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=0,3,7199.5601,3.557,1.6608,3.494,1.411,0.0,0.0,0.0,1.411,69.6667,,,,69.6667,-2923.7704,,,,-2923.7704,175.0,36.6667,2.3333,136.0,0.0,39.0,0.2343,1.0398,0.625,0.9394,0.249,0.0,0.0,0.0,0.249,14.5717,,,,14.5717,2571.1537,,,,2571.1537,66.34,6.5064,4.0415,56.3205,0.0,10.1489
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=0_defpreempt=1,3,7199.5707,3.4665,1.6529,3.4226,1.3712,0.0,0.0,0.0,1.3712,52.6667,,,,52.6667,-2463.2565,,,,-2463.2565,155.0,37.6667,2.6667,114.6667,0.0,40.3333,0.222,0.8481,0.6768,0.733,0.2255,0.0,0.0,0.0,0.2255,8.3267,,,,8.3267,1675.7774,,,,1675.7774,31.607,2.3094,4.6188,25.5408,0.0,6.1101
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=1_defpreempt=0,3,7199.3125,3.5772,1.7669,3.5457,1.4684,0.0,0.0,0.0,1.4684,65.0,,,,65.0,-3408.9235,,,,-3408.9235,147.3333,33.3333,4.0,110.0,0.0,37.3333,0.2114,0.9257,0.6447,0.7613,0.1023,0.0,0.0,0.0,0.1023,1.7321,,,,1.7321,2616.5318,,,,2616.5318,52.2143,6.6583,2.0,44.2267,0.0,8.5049
nodes=16_prio=1_arrival=16s,mode=stablequeue2s_blocking=1_defpreempt=1,3,7199.4622,3.5593,1.7089,3.5331,1.3931,0.0,0.0,0.0,1.3931,50.3333,,,,50.3333,-2551.6581,,,,-2551.6581,161.0,38.0,2.0,121.0,0.0,40.0,0.3517,0.9123,0.7131,0.7952,0.2056,0.0,0.0,0.0,0.2056,5.1316,,,,5.1316,1639.3173,,,,1639.3173,47.1593,5.5678,2.6458,38.9744,0.0,8.1854
nodes=16_prio=1_arrival=16s,mode=stablequeue8s_blocking=0_defpreempt=0,3,7199.4304,3.5078,1.6434,3.4749,1.3665,0.0,0.0,0.0,1.3665,26.3333,,,,26.3333,-2899.0368,,,,-2899.0368,88.3333,26.0,1.6667,60.6667,0.0,27.6667,0.3861,0.9445,0.6995,0.8398,0.1924,0.0,0.0,0.0,0.1924,11.1505,,,,11.1505,1614.2768,,,,1614.2768,43.0968,5.2915,1.1547,39.4631,0.0,5.7735
nodes=16_prio=1_arrival=16s,mode=stablequeue8s_blocking=0_defpreempt=1,3,7199.4447,3.2815,1.6585,3.2268,1.3037,0.0,0.0,0.0,1.3037,36.6667,,,,36.6667,-2484.8215,,,,-2484.8215,69.3333,24.3333,2.0,43.0,0.0,26.3333,0.37,0.6011,0.6888,0.4333,0.1496,0.0,0.0,0.0,0.1496,19.3477,,,,19.3477,1645.1002,,,,1645.1002,12.5033,4.5092,1.0,14.9332,0.0,5.1316
nodes=16_prio=1_arrival=16s,mode=stablequeue8s_blocking=1_defpreempt=0,3,7199.6138,3.4397,1.625,3.3837,1.3316,0.0,0.0,0.0,1.3316,16.3333,,,,16.3333,-2459.7667,,,,-2459.7667,81.0,24.6667,3.6667,52.6667,0.0,28.3333,0.2297,0.9157,0.6494,0.8259,0.1525,0.0,0.0,0.0,0.1525,21.7332,,,,21.7332,2294.9111,,,,2294.9111,34.6554,2.0817,3.0551,33.3816,0.0,2.8868
nodes=16_prio=1_arrival=16s,mode=stablequeue8s_blocking=1_defpreempt=1,3,7199.3919,3.375,1.5451,3.3342,1.2743,0.0,0.0,0.0,1.2743,15.0,,,,15.0,-2235.6435,,,,-2235.6435,80.3333,21.6667,2.3333,56.3333,0.0,24.0,0.3389,0.9292,0.6807,0.8098,0.2196,0.0,0.0,0.0,0.2196,27.6225,,,,27.6225,1634.0849,,,,1634.0849,22.5462,4.0415,4.0415,22.5462,0.0,0.0
nodes=16_prio=1_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,3,7199.6035,-0.1945,-0.0726,-0.1535,-0.0194,0.0,0.0,0.0,-0.0194,5.6667,,,,5.6667,14.8209,,,,14.8209,2.6667,2.3333,0.0,0.3333,0.0,2.3333,0.2459,0.0855,0.0578,0.1731,0.0838,0.0,0.0,0.0,0.0838,19.2959,,,,19.2959,27.4521,,,,27.4521,0.5774,0.5774,0.0,0.5774,0.0,0.5774
nodes=16_prio=1_arrival=1s,mode=periodic32s_blocking=0_defpreempt=1,3,7199.503,-0.1314,-0.0345,-0.0964,-0.0245,0.0,0.0,0.0,-0.0245,-15.6667,,,,-15.6667,25.1265,,,,25.1265,3.0,2.6667,0.0,0.3333,0.0,2.6667,0.3975,0.2216,0.0431,0.2317,0.0778,0.0,0.0,0.0,0.0778,35.6417,,,,35.6417,15.038,,,,15.038,1.0,1.1547,0.0,0.5774,0.0,1.1547
nodes=16_prio=1_arrival=1s,mode=periodic32s_blocking=1_defpreempt=0,3,7199.6557,-0.2847,-0.1245,-0.2757,-0.1548,0.0,0.0,0.0,-0.1548,-71.3333,,,,-71.3333,79.2041,,,,79.2041,2.0,2.0,0.0,0.0,0.0,2.0,0.1121,0.1771,0.0734,0.1671,0.0398,0.0,0.0,0.0,0.0398,45.3468,,,,45.3468,64.1424,,,,64.1424,1.7321,1.7321,0.0,0.0,0.0,1.7321
nodes=16_prio=1_arrival=1s,mode=periodic32s_blocking=1_defpreempt=1,3,7199.5387,-0.1144,-0.0539,-0.1002,-0.0509,0.0,0.0,0.0,-0.0509,-20.0,,,,-20.0,29.9901,,,,29.9901,2.3333,2.3333,0.0,0.0,0.0,2.3333,0.2865,0.0935,0.086,0.1274,0.0477,0.0,0.0,0.0,0.0477,68.4617,,,,68.4617,25.1003,,,,25.1003,0.5774,0.5774,0.0,0.0,0.0,0.5774
