job_name,plugin_config,seed,T_end_s_mean,delta_U_pct_cpu_mean,delta_U_pct_mem_mean,delta_U_pct_eff_mean,delta_R_num_p1_mean,delta_R_num_p2_mean,delta_R_num_p3_mean,delta_R_num_p4_mean,delta_R_num_total_mean,delta_D_num_p1_mean,delta_D_num_p2_mean,delta_D_num_p3_mean,delta_D_num_p4_mean,delta_D_num_total_mean,delta_L_ms_p1_mean,delta_L_ms_p2_mean,delta_L_ms_p3_mean,delta_L_ms_p4_mean,delta_L_ms_total_mean,solver_attempts_mean,solver_optimal_mean,solver_feasible_mean,solver_failed_mean,plan_not_applicable_mean,plan_activated_mean
nodes=16_prio=4_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.3441,0.3183,1.6581,1.6301,0.8435,-0.3198,-0.4134,-0.1819,-0.0717,-216.0,-75.0,-78.0,-38.0,-407.0,15243.6546,8863.4302,9854.7297,7851.4536,11282.1271,15.0,8.0,0.0,7.0,0.0,8.0
nodes=16_prio=4_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.4298,2.717,0.6241,2.6692,1.2435,-0.203,-0.1839,-0.0982,0.7584,-154.0,-63.0,-42.0,-27.0,-286.0,1923.0343,2504.6668,3338.3998,4189.836,2842.4026,16.0,12.0,1.0,3.0,0.0,13.0
nodes=16_prio=4_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.1152,-0.3036,0.6132,0.3619,1.5554,-0.7818,-0.4643,-0.333,-0.0236,-2164.0,-483.0,-386.0,-300.0,-3333.0,284.4714,917.6508,525.8689,537.8416,558.6909,4.0,4.0,0.0,0.0,0.0,4.0
nodes=16_prio=4_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.862,-0.2426,0.1638,-0.1466,1.3955,-0.4955,-0.5469,-0.355,-0.0019,-2148.0,-440.0,-409.0,-272.0,-3269.0,188.8739,563.7512,740.3381,710.5132,516.72,,,,,,
nodes=16_prio=4_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.8247,1.0856,-0.2105,1.0332,1.3046,-0.4755,-0.4269,-0.2857,0.1165,-1806.0,-478.0,-323.0,-220.0,-2827.0,280.8936,458.0397,624.6643,484.2956,443.285,3.0,2.0,0.0,1.0,0.0,2.0
nodes=16_prio=4_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.7404,-0.3775,0.8071,-0.1908,1.2426,-0.5164,-0.3663,-0.2853,0.0746,-1485.0,-338.0,-218.0,-211.0,-2252.0,484.5468,990.3089,765.1174,827.5228,764.581,2.0,1.0,0.0,1.0,0.0,1.0
nodes=16_prio=4_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.8062,-0.5898,0.0608,-0.183,1.207,-0.6244,-0.6289,-0.3911,-0.4374,-1341.0,-338.0,-329.0,-195.0,-2203.0,479.5405,1502.044,1474.8921,1193.9394,1117.6293,6.0,6.0,0.0,0.0,0.0,6.0
nodes=16_prio=4_arrival=2s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.7841,1.3418,-0.1977,1.3319,1.1267,-0.3538,-0.3767,-0.2571,0.1391,-1063.0,-289.0,-202.0,-168.0,-1722.0,277.4349,576.2967,1057.1869,745.4725,619.5162,6.0,6.0,0.0,0.0,0.0,6.0
nodes=16_prio=4_arrival=4s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.1992,-0.4689,1.4067,0.1347,1.1894,-0.4197,-0.4673,-0.3016,0.0009,-672.0,-193.0,-116.0,-124.0,-1105.0,1223.2428,2222.2466,3237.6207,1923.3418,2116.3601,11.0,9.0,1.0,1.0,0.0,10.0
nodes=16_prio=4_arrival=4s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.1185,0.5127,0.4492,0.6181,1.2636,-0.3888,-0.4999,-0.2285,0.1464,-705.0,-187.0,-173.0,-115.0,-1180.0,997.8519,1843.5911,2363.7583,1736.3521,1709.177,9.0,9.0,0.0,0.0,0.0,9.0
nodes=16_prio=4_arrival=4s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.0358,1.4804,-0.0642,1.4778,1.1545,-0.3868,-0.3561,-0.3127,0.0989,-663.0,-227.0,-144.0,-142.0,-1176.0,363.7234,1598.5232,1642.9915,2071.0833,1300.1886,13.0,11.0,0.0,2.0,0.0,11.0
nodes=16_prio=4_arrival=8s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.3252,0.3007,1.3644,0.542,1.0799,-0.2663,-0.2733,-0.3498,0.1905,-344.0,-78.0,-71.0,-57.0,-550.0,1504.5364,2997.9197,2805.6745,7412.2037,3288.0566,15.0,15.0,0.0,0.0,0.0,15.0
nodes=16_prio=4_arrival=8s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.1476,0.1458,1.3892,1.3846,1.0333,-0.3871,-0.3694,-0.2499,0.0269,-365.0,-108.0,-104.0,-61.0,-638.0,3597.7308,5508.3363,4712.5597,4867.3941,4586.9588,10.0,9.0,1.0,0.0,0.0,10.0
nodes=16_prio=4_arrival=8s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.8549,2.4034,0.0115,2.4026,1.2119,-0.2637,-0.2796,-0.2735,0.3952,-331.0,-118.0,-84.0,-79.0,-612.0,2398.2356,1605.4997,2870.3893,5021.2276,2761.9807,14.0,13.0,0.0,1.0,0.0,13.0
nodes=32_prio=1_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.2392,1.0092,0.7746,1.0573,1.0082,0.0,0.0,0.0,1.0082,-5.0,,,,-5.0,2022.5843,,,,2022.5843,44.0,16.0,0.0,28.0,0.0,16.0
nodes=32_prio=1_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.3309,3.861,1.1351,3.9892,2.6093,0.0,0.0,0.0,2.6093,12.0,,,,12.0,3192.3402,,,,3192.3402,29.0,9.0,0.0,20.0,0.0,9.0
nodes=32_prio=1_arrival=16s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.6211,2.18,0.5234,2.18,1.4,0.0,0.0,0.0,1.4,-35.0,,,,-35.0,-8504.2762,,,,-8504.2762,32.0,8.0,0.0,24.0,0.0,8.0
nodes=32_prio=1_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,1420052706459400740,7199.6692,-0.054,-0.0457,-0.0128,-0.0789,0.0,0.0,0.0,-0.0789,-31.0,,,,-31.0,-12.7702,,,,-12.7702,4.0,4.0,0.0,0.0,0.0,4.0
nodes=32_prio=1_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,2219457405427907235,7199.6722,0.3782,0.0882,0.3202,0.0256,0.0,0.0,0.0,0.0256,-59.0,,,,-59.0,1.0039,,,,1.0039,6.0,4.0,0.0,2.0,0.0,4.0
nodes=32_prio=1_arrival=1s,mode=periodic32s_blocking=0_defpreempt=0,3848061858430934892,7199.8153,0.2466,0.1317,0.2466,0.1136,0.0,0.0,0.0,0.1136,-28.0,,,,-28.0,-39.9326,,,,-39.9326,5.0,5.0,0.0,0.0,0.0,5.0
