scheduler,job_name,n_seed,time_s,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,running_p1_mean,unsched_p1_mean,deletions_cum_p1_mean,running_p2_mean,unsched_p2_mean,deletions_cum_p2_mean,running_p3_mean,unsched_p3_mean,deletions_cum_p3_mean,running_p4_mean,unsched_p4_mean,deletions_cum_p4_mean
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,0,0.0184,0.0354,0.0992,0.1308,0.0,6.0,0.0,0.6667,2.6667,0.0,1.0,1.3333,0.0,1.0,0.6667,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,1,0.2224,0.2523,0.2224,0.2523,12.6667,0.0,0.0,7.3333,0.0,0.0,3.3333,0.0,0.0,3.6667,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,2,0.3407,0.3604,0.3407,0.3604,16.0,0.0,0.0,11.6667,0.0,0.0,6.6667,0.0,0.0,4.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,3,0.4421,0.4586,0.4434,0.4616,19.6667,0.0,0.0,14.3333,0.0,0.0,11.0,0.3333,0.0,5.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,4,0.5313,0.5693,0.5313,0.5693,22.3333,0.0,0.0,16.3333,0.0,0.0,13.0,0.0,0.0,9.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,5,0.6216,0.6832,0.6315,0.7104,26.6667,0.0,0.0,18.3333,0.6667,0.0,14.6667,0.3333,0.0,11.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,6,0.7003,0.7288,0.7113,0.7571,29.0,0.0,0.0,20.6667,0.6667,0.0,16.3333,0.3333,0.0,12.6667,0.3333,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,7,0.7488,0.775,0.763,0.8139,31.0,0.0,0.0,21.3333,0.6667,0.6667,17.6667,1.3333,0.0,15.0,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,8,0.7802,0.7966,0.7932,0.8342,31.0,0.0,0.0,22.0,0.3333,0.6667,19.0,1.3333,0.0,16.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,9,0.7949,0.8079,0.8216,0.8479,31.0,0.6667,0.0,23.6667,0.3333,0.6667,19.3333,1.3333,0.0,16.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,10,0.801,0.8275,0.8254,0.8483,32.3333,0.6667,0.0,25.3333,0.0,0.6667,19.3333,1.0,0.6667,16.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,11,0.801,0.8275,0.8267,0.8504,32.3333,1.0,0.0,25.3333,0.0,0.6667,19.3333,1.0,0.6667,16.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,12,0.8012,0.8355,0.8255,0.8491,32.0,1.3333,0.6667,25.0,0.0,1.0,20.0,0.3333,0.6667,16.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,13,0.8012,0.8355,0.8255,0.8491,32.0,1.3333,0.6667,25.0,0.0,1.0,20.0,0.3333,0.6667,16.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,14,0.8012,0.8355,0.8319,0.8559,32.0,1.3333,0.6667,25.0,0.0,1.0,20.0,0.6667,0.6667,16.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,15,0.8024,0.8395,0.845,0.8589,32.3333,1.0,1.3333,25.0,0.0,1.0,20.0,1.6667,0.6667,16.3333,0.0,0.0
mode=stablequeue2s_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,16,0.8009,0.8384,0.8435,0.8578,32.0,1.0,1.6667,25.0,0.0,1.0,20.0,1.6667,0.6667,16.3333,0.0,0.0
