scheduler,job_name,n_seeds,T_end_s_mean,cpu_run_util_mean,mem_run_util_mean,cpu_req_util_mean,mem_req_util_mean,util_eff_run_mean,util_eff_req_mean,R_p1,R_p2,R_p3,R_p4,D_p1,D_p2,D_p3,D_p4,latency_first_admit_mean_total_s,latency_first_admit_mean_p1_s,latency_first_admit_mean_p2_s,latency_first_admit_mean_p3_s,latency_first_admit_mean_p4_s,solver_attempts_total,best_solver_optimal_total,best_solver_feasible_total,best_solver_failed_total,plan_not_applicable_total,plan_activated_total,T_end_s_std,cpu_run_util_mean_std,mem_run_util_mean_std,cpu_req_util_mean_std,mem_req_util_mean_std,util_eff_run_mean_std,util_eff_req_mean_std,R_p1_std,R_p2_std,R_p3_std,R_p4_std,D_p1_std,D_p2_std,D_p3_std,D_p4_std,latency_first_admit_mean_total_s_std,latency_first_admit_mean_p1_s_std,latency_first_admit_mean_p2_s_std,latency_first_admit_mean_p3_s_std,latency_first_admit_mean_p4_s_std,solver_attempts_total_std,best_solver_optimal_total_std,best_solver_feasible_total_std,best_solver_failed_total_std,plan_not_applicable_total_std,plan_activated_total_std
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=16s,3,7199.1815,0.8415,0.8316,0.8541,0.8442,0.878,0.8916,240667.461,174645.4543,161018.7258,132543.2649,323.6667,193.6667,162.3333,122.6667,6.3901,7.4302,4.3906,7.5465,5.3905,50.3333,23.3333,2.0,25.0,0.0,25.3333,0.0435,0.0489,0.0404,0.0487,0.0435,0.0015,0.0013,19101.2958,34974.4704,47901.2859,24616.1575,39.5334,23.0988,15.5421,9.9778,2.4456,3.6965,2.0228,3.6764,2.6278,5.2493,3.0912,0.8165,1.633,0.0,3.7712
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=4s,3,7199.4079,0.8432,0.8027,0.8647,0.8198,0.8694,0.8918,241462.6901,172820.0078,174670.94,126727.8674,1067.0,734.3333,628.6667,501.6667,2.159,2.5075,1.9262,2.1346,1.8713,54.3333,40.3333,1.3333,12.6667,0.0,41.6667,0.2108,0.0328,0.046,0.0304,0.0502,0.0032,0.0009,19138.5127,7030.5902,20003.8899,24865.6484,100.0833,70.6981,14.8847,21.3125,0.4569,0.6678,0.4473,0.4646,0.2698,3.8586,7.5865,1.2472,4.0277,0.0,6.5997
mode=periodic8s_blocking=1_defpreempt=0,nodes=16_prio=4_arrival=8s,3,7199.5732,0.8407,0.8208,0.8539,0.8335,0.877,0.8921,242213.9178,180088.8351,170863.8323,125481.4027,575.3333,351.3333,290.3333,220.6667,3.3648,3.9644,2.5467,2.7858,4.19,57.3333,40.0,4.0,13.3333,0.0,44.0,0.2858,0.047,0.057,0.0474,0.0607,0.002,0.0009,23720.4469,32369.9343,36665.2652,21688.5522,56.7881,30.4448,32.7143,15.4128,0.7221,1.5321,0.5967,0.43,0.8224,5.5578,4.0825,2.1602,3.3993,0.0,2.1602
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=16s,3,7199.403,0.8825,0.8093,0.8918,0.8154,0.8863,0.8961,1567828.2289,0.0,0.0,0.0,826.6667,0.0,0.0,0.0,5.9829,5.9829,,,,67.3333,21.3333,0.3333,45.6667,0.0,21.6667,0.1747,0.006,0.0549,0.0049,0.0559,0.008,0.0065,93721.2537,0.0,0.0,0.0,89.4663,0.0,0.0,0.0,0.519,0.519,,,,5.3125,5.7927,0.4714,0.9428,0.0,5.4365
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=4s,3,7197.7326,0.8799,0.7925,0.8909,0.8001,0.881,0.8924,1541365.6664,0.0,0.0,0.0,3048.0,0.0,0.0,0.0,1.8454,1.8454,,,,55.6667,33.0,0.0,22.6667,0.0,33.0,2.0439,0.0018,0.0484,0.0011,0.051,0.0008,0.0001,97220.5224,0.0,0.0,0.0,84.1942,0.0,0.0,0.0,0.3306,0.3306,,,,6.8475,4.2426,0.0,2.6247,0.0,4.2426
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=1_arrival=8s,3,7199.4136,0.874,0.7998,0.8893,0.8098,0.8757,0.8916,1565611.4813,0.0,0.0,0.0,1546.6667,0.0,0.0,0.0,5.0751,5.0751,,,,74.0,19.3333,0.3333,54.3333,0.0,19.6667,0.1665,0.0041,0.0506,0.0013,0.0531,0.0042,0.0005,93095.1043,0.0,0.0,0.0,72.2972,0.0,0.0,0.0,0.4408,0.4408,,,,2.4495,5.7927,0.4714,5.9067,0.0,6.2361
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=16s,3,7199.5428,0.8585,0.8195,0.8649,0.8253,0.8852,0.8919,512884.3462,371394.7468,335358.4276,260208.7536,348.3333,211.0,186.3333,130.3333,5.1699,3.4447,3.7396,4.1273,11.9259,46.6667,20.6667,1.6667,24.3333,0.0,22.3333,0.0836,0.0361,0.0505,0.0386,0.0502,0.0023,0.0006,60459.9213,55207.6694,68375.5132,39987.7469,51.4738,20.3142,9.7411,6.3421,3.274,0.9506,1.594,0.6953,14.1511,14.8399,0.9428,2.357,16.2138,0.0,2.0548
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=4s,3,7198.7316,0.8643,0.8147,0.8733,0.8218,0.8822,0.8918,512576.2235,367151.9462,369288.6912,269074.8857,1186.6667,805.3333,694.6667,554.6667,1.6567,1.6694,1.8595,1.6423,1.3977,52.3333,43.0,1.0,8.3333,0.0,44.0,0.7614,0.0246,0.0496,0.025,0.0517,0.0004,0.0014,57148.4535,33202.6578,40967.1042,39871.3342,97.387,80.9499,20.3361,30.8149,0.4412,0.4612,0.5663,0.6281,0.432,10.3387,4.9666,0.0,5.7349,0.0,4.9666
mode=periodic8s_blocking=1_defpreempt=0,nodes=32_prio=4_arrival=8s,3,7199.4001,0.8597,0.8244,0.867,0.8315,0.8826,0.8917,518446.8005,373608.5674,352304.1805,261734.9832,598.3333,392.0,331.0,246.0,3.1746,3.4006,2.2983,3.725,3.3478,56.6667,32.0,0.6667,24.0,0.0,32.6667,0.3044,0.033,0.0517,0.0334,0.0545,0.0022,0.001,66152.492,60342.6507,66694.3635,42555.0107,55.3554,37.4789,42.1663,19.2527,0.9005,1.8409,0.2271,1.6904,0.9198,3.0912,5.8878,0.4714,7.1181,0.0,5.4365
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=16s,3,7199.3974,0.8809,0.7945,0.8907,0.802,0.8914,0.902,774341.5929,0.0,0.0,0.0,793.6667,0.0,0.0,0.0,3.9146,3.9146,,,,54.0,26.0,4.0,24.0,0.0,30.0,0.2217,0.011,0.076,0.0137,0.0761,0.0066,0.0079,65720.111,0.0,0.0,0.0,90.9004,0.0,0.0,0.0,0.7214,0.7214,,,,14.7196,1.4142,3.559,10.198,0.0,4.5461
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=4s,3,7199.3257,0.8627,0.7746,0.883,0.7907,0.87,0.8916,750579.1448,0.0,0.0,0.0,2784.0,0.0,0.0,0.0,1.8486,1.8486,,,,47.0,28.6667,3.0,15.3333,0.0,31.6667,0.1954,0.0084,0.0763,0.0067,0.081,0.0031,0.0008,72459.522,0.0,0.0,0.0,106.4707,0.0,0.0,0.0,0.4657,0.4657,,,,2.9439,3.8586,1.633,5.2493,0.0,2.357
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=1_arrival=8s,3,7199.3863,0.8695,0.788,0.8825,0.7997,0.8803,0.8943,767949.0715,0.0,0.0,0.0,1445.6667,0.0,0.0,0.0,3.0289,3.0289,,,,42.6667,25.3333,2.6667,14.6667,0.0,28.0,0.2195,0.0125,0.0872,0.0124,0.0895,0.0034,0.0031,72382.3664,0.0,0.0,0.0,66.4597,0.0,0.0,0.0,0.4675,0.4675,,,,2.6247,1.2472,1.6997,3.6818,0.0,1.4142
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=16s,3,7199.5281,0.8439,0.8322,0.854,0.8441,0.8786,0.8915,238174.5944,176130.899,163040.3476,133528.7693,571.3333,241.0,209.6667,148.6667,1.0269,3.1529,0.1292,0.0937,0.1216,61.3333,29.6667,5.6667,26.0,0.0,35.3333,0.2049,0.049,0.0388,0.0487,0.0436,0.0019,0.0013,18141.584,35239.2606,47600.3523,24739.3985,57.6561,17.9072,3.8586,7.1336,0.1997,0.8393,0.0172,0.0305,0.029,14.8847,4.9889,1.2472,9.9331,0.0,6.0185
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=4s,3,7199.8512,0.8432,0.8011,0.8641,0.8191,0.8681,0.8911,236320.0924,175468.6973,177261.1578,128552.6038,1868.6667,944.6667,786.6667,625.6667,0.4896,1.3497,0.1208,0.1114,0.0956,66.3333,49.3333,1.6667,15.3333,0.0,51.0,0.1015,0.0314,0.0433,0.0305,0.0501,0.0021,0.0008,19043.5741,7362.9977,19397.1687,24820.2553,70.5234,72.3018,27.158,30.5541,0.1556,0.483,0.0329,0.0094,0.0089,24.0046,16.3571,2.357,9.7411,0.0,14.4453
mode=periodic8s_blocking=1_defpreempt=1,nodes=16_prio=4_arrival=8s,3,7199.1246,0.8403,0.8192,0.8535,0.8332,0.8747,0.8917,238825.1123,181676.3628,172468.0532,126993.8838,1014.6667,447.3333,377.3333,283.3333,0.7942,2.3273,0.1374,0.1177,0.1086,75.3333,43.6667,3.3333,28.3333,0.0,47.0,0.2798,0.046,0.0546,0.0473,0.0608,0.0034,0.001,23072.2921,32383.1462,36708.6066,22037.2543,81.3484,34.6538,20.8859,23.9768,0.3267,1.064,0.063,0.0066,0.0534,25.2499,3.7712,2.0548,23.0988,0.0,2.4495
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=1_arrival=16s,3,7199.6364,0.8817,0.8095,0.8919,0.8155,0.8857,0.8962,1567386.6535,0.0,0.0,0.0,816.3333,0.0,0.0,0.0,6.6868,6.6868,,,,69.0,18.6667,0.3333,50.0,0.0,19.0,0.2765,0.0064,0.0562,0.0049,0.0559,0.0086,0.0065,94917.7131,0.0,0.0,0.0,86.3417,0.0,0.0,0.0,1.277,1.277,,,,4.2426,4.4969,0.4714,8.0416,0.0,4.0825
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=1_arrival=4s,3,7199.5225,0.8778,0.7906,0.8909,0.8001,0.8787,0.8924,1539913.2155,0.0,0.0,0.0,3024.3333,0.0,0.0,0.0,1.9786,1.9786,,,,64.6667,32.3333,0.3333,32.0,0.0,32.6667,0.2049,0.0018,0.0472,0.0011,0.051,0.0009,0.0001,97138.7961,0.0,0.0,0.0,73.2181,0.0,0.0,0.0,0.8195,0.8195,,,,10.403,3.8586,0.4714,6.4807,0.0,4.0277
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=1_arrival=8s,3,7199.6724,0.8749,0.8007,0.8893,0.8097,0.8768,0.8916,1566701.4029,0.0,0.0,0.0,1556.3333,0.0,0.0,0.0,4.5778,4.5778,,,,68.3333,19.0,0.3333,49.0,0.0,19.3333,0.3183,0.0035,0.0512,0.0013,0.053,0.0037,0.0006,93445.7468,0.0,0.0,0.0,63.8766,0.0,0.0,0.0,0.7558,0.7558,,,,4.9216,3.7417,0.4714,4.3205,0.0,3.6818
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=16s,3,7199.6402,0.8592,0.8205,0.8648,0.8252,0.8856,0.8917,509445.2533,372568.1662,336774.0256,262043.607,502.6667,240.0,211.0,149.0,1.096,3.2307,0.1025,0.1047,0.1329,51.0,23.3333,2.6667,25.0,0.0,26.0,0.1034,0.0363,0.0498,0.0386,0.0502,0.0017,0.0006,58001.1438,54809.9249,68847.187,40522.625,40.8276,20.6074,10.2307,8.641,0.4086,1.4438,0.0184,0.0647,0.0592,12.8323,4.714,3.0912,10.6145,0.0,7.7889
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=4s,3,7199.3118,0.8636,0.8141,0.873,0.8216,0.8812,0.8915,507674.6077,369601.7796,371121.2685,270434.9857,1694.0,943.3333,777.6667,627.0,0.3958,1.0341,0.104,0.0985,0.0902,54.3333,43.6667,1.3333,9.3333,0.0,45.0,0.1539,0.0242,0.0491,0.0249,0.0518,0.0006,0.0015,56299.4766,33458.6381,41299.9547,39569.375,82.7688,67.2822,25.6168,30.0998,0.0717,0.195,0.0254,0.0255,0.0113,4.4969,2.8674,0.9428,6.5997,0.0,2.1602
mode=periodic8s_blocking=1_defpreempt=1,nodes=32_prio=4_arrival=8s,3,7199.6801,0.8599,0.8244,0.8669,0.8314,0.8828,0.8916,514674.4657,375298.7066,354458.5589,263061.5481,846.0,448.0,380.3333,282.6667,0.623,1.7685,0.0896,0.0846,0.074,47.0,26.0,2.3333,18.6667,0.0,28.3333,0.1955,0.0339,0.0508,0.0334,0.0545,0.0026,0.001,65859.3517,60465.1406,66131.2648,42771.6283,56.5744,32.619,24.074,17.7451,0.1875,0.6004,0.015,0.0097,0.0274,3.7417,5.7155,2.6247,7.3182,0.0,4.9216
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=16s,3,7199.7362,0.8804,0.7935,0.8907,0.8019,0.8911,0.9019,772641.0092,0.0,0.0,0.0,747.0,0.0,0.0,0.0,6.5455,6.5455,,,,119.0,55.0,9.3333,54.6667,0.3333,64.0,0.1505,0.0105,0.0763,0.0136,0.0762,0.0063,0.0079,65682.7472,0.0,0.0,0.0,89.5805,0.0,0.0,0.0,0.9013,0.9013,,,,21.276,8.6023,7.5865,6.9442,0.4714,14.7196
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=4s,3,7198.9122,0.8586,0.7832,0.8848,0.8066,0.8719,0.8994,745825.4152,0.0,0.0,0.0,2272.3333,0.0,0.0,0.0,4.8521,4.8521,,,,232.0,117.0,27.0,88.0,2.0,142.0,1.2924,0.0083,0.0879,0.0042,0.0934,0.007,0.0117,73333.1553,0.0,0.0,0.0,230.7962,0.0,0.0,0.0,1.137,1.137,,,,15.8955,9.2736,16.0624,30.0111,0.8165,24.3447
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=1_arrival=8s,3,7199.7591,0.8677,0.787,0.8822,0.7996,0.8789,0.8941,764532.8121,0.0,0.0,0.0,1329.3333,0.0,0.0,0.0,5.2564,5.2564,,,,160.6667,87.0,15.0,58.6667,1.3333,100.6667,0.1843,0.012,0.0884,0.0123,0.0897,0.0032,0.003,72158.2181,0.0,0.0,0.0,119.0247,0.0,0.0,0.0,0.6229,0.6229,,,,3.0912,4.9666,8.5245,10.4987,0.4714,13.6951
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=16s,3,7199.5866,0.842,0.8327,0.854,0.8442,0.8785,0.8915,239517.1292,174572.7474,161644.7053,132470.318,418.0,174.3333,148.3333,115.3333,7.5872,10.9503,6.0861,5.4039,6.5885,124.0,63.3333,7.3333,53.3333,0.3333,70.3333,0.1269,0.0498,0.0398,0.0487,0.0436,0.0013,0.0014,18091.7105,34904.7178,47954.5862,24536.9127,78.8205,22.0504,14.3836,2.0548,2.6668,5.3263,1.7987,1.6664,3.1428,18.4932,13.3,4.1096,3.2998,0.4714,16.5395
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=4s,3,7199.8667,0.8394,0.7983,0.8644,0.8194,0.8659,0.8914,238491.0885,170979.7058,173971.6034,126233.1993,1256.0,596.3333,535.3333,440.0,3.7683,4.2068,3.7734,3.6456,3.1601,296.0,175.0,17.6667,103.3333,3.0,189.6667,0.3306,0.0332,0.0464,0.0303,0.0502,0.003,0.0009,19304.9869,6536.0332,20350.0983,24782.7245,191.3165,51.6161,28.7673,25.807,0.8711,1.0349,0.7459,1.4267,0.4789,74.0855,38.9957,5.5578,30.9444,2.1602,41.0636
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=16_prio=4_arrival=8s,3,7199.5423,0.8389,0.8189,0.8536,0.8333,0.8751,0.8918,240142.43,179608.4661,170926.2213,125564.4442,765.0,312.6667,266.6667,203.6667,4.6435,6.1465,3.9781,3.2141,4.6175,194.6667,110.0,18.0,66.6667,1.3333,126.6667,0.5239,0.0468,0.0562,0.0474,0.0607,0.0016,0.0009,23169.0516,32416.7795,36491.4367,21687.2837,130.693,29.3523,26.9485,15.9234,1.7417,2.673,1.588,0.6373,1.9562,31.8469,24.4949,6.1644,7.8457,1.2472,26.386
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=16s,3,7199.5316,0.8805,0.8072,0.8918,0.8154,0.8848,0.8961,1562015.6204,0.0,0.0,0.0,729.6667,0.0,0.0,0.0,14.2138,14.2138,,,,118.0,35.3333,1.6667,81.0,0.3333,36.6667,0.1586,0.0068,0.0567,0.005,0.0559,0.0089,0.0065,95651.4647,0.0,0.0,0.0,81.4548,0.0,0.0,0.0,2.4754,2.4754,,,,5.099,6.1283,0.4714,10.0333,0.4714,6.1283
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=4s,3,7198.9674,0.8746,0.7861,0.8908,0.7999,0.8758,0.8922,1527982.5042,0.0,0.0,0.0,2421.6667,0.0,0.0,0.0,5.7378,5.7378,,,,188.0,94.6667,1.6667,91.6667,1.6667,94.6667,0.7961,0.0021,0.0494,0.001,0.051,0.0015,0.0001,98667.6461,0.0,0.0,0.0,95.2762,0.0,0.0,0.0,0.6942,0.6942,,,,18.9912,4.9889,1.6997,14.2906,1.6997,4.9889
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=1_arrival=8s,3,7199.6012,0.8709,0.7958,0.8892,0.8097,0.873,0.8915,1555910.3185,0.0,0.0,0.0,1298.6667,0.0,0.0,0.0,12.0331,12.0331,,,,153.0,58.3333,1.0,93.6667,0.0,59.3333,0.2141,0.0047,0.0539,0.0014,0.0531,0.0053,0.0005,96952.0177,0.0,0.0,0.0,63.3368,0.0,0.0,0.0,2.9734,2.9734,,,,7.2572,14.6363,0.8165,8.7305,0.0,15.3695
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=16s,3,7199.4744,0.8581,0.8192,0.8648,0.8252,0.885,0.8918,510845.3164,370789.7828,335325.5473,259965.5374,365.3333,195.6667,164.0,123.0,8.9942,10.3473,7.4753,4.9431,14.0246,87.3333,43.6667,5.0,38.6667,0.0,48.6667,0.3074,0.0367,0.0503,0.0386,0.0502,0.003,0.0007,59193.5215,54952.0972,68707.0277,39956.222,76.3079,20.3688,2.4495,4.5461,5.971,6.8654,4.2117,2.296,15.9401,7.7172,5.5578,5.7155,16.5798,0.0,9.5336
mode=schedulingfailure_blocking=0_defpreempt=0,nodes=32_prio=4_arrival=4s,3,7199.25,0.8618,0.8115,0.873,0.8216,0.8801,0.8916,508278.6531,364749.3158,368024.5821,268315.3322,1183.0,649.6667,569.0,488.6667,3.8903,4.6919,4.3357,3.1312,2.8875,197.0,135.6667,7.3333,54.0,3.6667,139.3333,0.2426,0.025,0.0504,0.0249,0.0517,0.0005,0.0015,56728.5957,33045.8161,41296.1212,39669.3072,98.968,69.5334,24.097,32.968,0.8661,1.453,1.0012,0.6782,0.5555,8.8318,6.5997,4.1096,14.3062,0.9428,9.5685
