timestamp,time_s,cpu_run_util,mem_run_util,cpu_req_util,mem_req_util,running_p1,running_p2,running_p3,running_p4,unsched_p1,unsched_p2,unsched_p3,unsched_p4,deletions_cum_p1,deletions_cum_p2,deletions_cum_p3,deletions_cum_p4
2026/01/28/22:35:25,4.187398,0.208531,0.209871,0.208531,0.209871,24,12,9,3,0,0,0,0,0,0,0,0
2026/01/28/22:35:26,5.187517,0.251656,0.246296,0.254469,0.251232,25,14,13,6,0,0,1,0,0,0,0,0
2026/01/28/22:35:27,6.187576,0.298187,0.287236,0.312812,0.290268,31,15,15,7,1,0,0,0,0,0,0,0
2026/01/28/22:35:28,7.187669,0.346313,0.337722,0.359281,0.340220,36,17,15,10,0,1,0,0,0,0,0,0
2026/01/28/22:35:29,8.187771,0.430188,0.362522,0.434531,0.364419,38,19,18,15,0,0,0,1,0,0,0,0
2026/01/28/22:35:30,9.187804,0.462844,0.411837,0.462844,0.411837,39,23,18,17,0,0,0,0,0,0,0,0
2026/01/28/22:35:31,10.187927,0.525281,0.444454,0.525281,0.444454,42,26,19,20,0,0,0,0,0,0,0,0
2026/01/28/22:35:32,11.187987,0.543719,0.473794,0.545344,0.476018,45,27,20,24,1,0,0,0,0,0,0,0
2026/01/28/22:35:33,12.188089,0.598094,0.512089,0.598094,0.512089,49,30,25,25,0,0,0,0,0,0,0,0
2026/01/28/22:35:34,13.188226,0.650594,0.549359,0.654094,0.551743,52,33,25,28,1,0,0,0,1,0,0,0
2026/01/28/22:35:35,14.188314,0.696469,0.568731,0.696469,0.568731,53,35,28,31,0,0,0,0,3,0,0,0
2026/01/28/22:35:36,15.188384,0.727437,0.631557,0.732469,0.636958,58,39,29,32,0,0,0,1,3,0,0,0
2026/01/28/22:35:37,16.188499,0.761250,0.655049,0.767719,0.657024,56,40,33,35,0,1,0,0,6,0,0,0
2026/01/28/22:35:38,17.188568,0.810750,0.673712,0.810750,0.673712,58,43,33,39,0,0,0,0,7,0,0,0
2026/01/28/22:35:39,18.188674,0.843562,0.701731,0.856688,0.727980,61,43,35,40,2,0,0,0,8,0,0,0
2026/01/28/22:35:40,19.188772,0.863969,0.718446,0.887406,0.746479,62,47,36,40,3,0,0,0,8,0,0,0
2026/01/28/22:35:41,20.188797,0.872594,0.726599,0.906344,0.756415,62,51,36,40,4,0,0,0,8,0,0,0
2026/01/28/22:35:42,21.188904,0.872594,0.726599,0.906344,0.756415,62,51,36,40,4,0,0,0,8,0,0,0
2026/01/28/22:35:43,22.189004,0.884188,0.740831,0.917937,0.770646,65,51,36,40,4,0,0,0,8,0,0,0
2026/01/28/22:35:44,23.189098,0.891156,0.746939,0.924906,0.776755,67,51,36,40,4,0,0,0,8,0,0,0
2026/01/28/22:35:45,24.189214,0.888750,0.751608,0.922500,0.781423,67,51,36,40,4,0,0,0,9,0,1,0
2026/01/28/22:35:46,25.189297,0.895219,0.761953,0.931063,0.795751,68,52,36,40,4,0,1,0,9,0,1,0
