timestamp,time_s,cpu_run_util,mem_run_util,cpu_req_util,mem_req_util,running_p1,unsched_p1,deletions_cum_p1
2026/01/19/14:12:26,6.241465,0.278781,0.204477,0.278781,0.204477,68,0,0
2026/01/19/14:12:27,7.241632,0.332344,0.264462,0.332344,0.264462,80,0,0
2026/01/19/14:12:28,8.241727,0.367000,0.299217,0.367000,0.299217,90,0,0
2026/01/19/14:12:29,9.241874,0.393625,0.331143,0.393625,0.331143,96,0,0
2026/01/19/14:12:30,10.241977,0.419812,0.356113,0.423531,0.363461,106,1,0
2026/01/19/14:12:31,11.242067,0.469062,0.415022,0.473000,0.419591,117,1,0
2026/01/19/14:12:32,12.242170,0.519062,0.459926,0.521344,0.462025,128,1,0
2026/01/19/14:12:33,13.242257,0.574000,0.496768,0.574000,0.496768,137,0,0
2026/01/19/14:12:34,14.242369,0.609344,0.541681,0.609344,0.541681,144,0,3
2026/01/19/14:12:35,15.242520,0.632812,0.592175,0.632812,0.592175,154,0,3
2026/01/19/14:12:36,16.242677,0.657188,0.628741,0.657188,0.628741,163,0,3
2026/01/19/14:12:37,17.242825,0.708156,0.664963,0.719844,0.672422,172,1,3
2026/01/19/14:12:38,18.242921,0.747125,0.707588,0.747125,0.707588,184,0,3
2026/01/19/14:12:39,19.243018,0.786094,0.727856,0.786094,0.727856,193,0,3
2026/01/19/14:12:40,20.243139,0.827937,0.757906,0.827937,0.757906,204,0,3
2026/01/19/14:12:41,21.243220,0.842531,0.785708,0.842531,0.785708,211,0,3
2026/01/19/14:12:42,22.243344,0.860812,0.809480,0.875406,0.827415,219,3,3
2026/01/19/14:12:43,23.243433,0.873906,0.819469,0.886281,0.835802,223,2,3
2026/01/19/14:12:44,24.243526,0.873906,0.819469,0.886281,0.835802,223,2,3
2026/01/19/14:12:45,25.243621,0.873906,0.819469,0.886281,0.835802,223,2,3
2026/01/19/14:12:46,26.243734,0.880625,0.826149,0.893000,0.842482,226,2,3
2026/01/19/14:12:47,27.243821,0.887031,0.826886,0.890250,0.841363,228,1,4
2026/01/19/14:12:48,28.243968,0.891875,0.832715,0.898000,0.849138,230,2,4
2026/01/19/14:12:49,29.244060,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:12:50,30.244187,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:12:51,31.244314,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:12:52,32.244398,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:12:53,33.244568,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:12:54,34.244685,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:12:55,35.244858,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:12:56,36.245005,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:12:57,37.245126,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:12:58,38.245284,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:12:59,39.245438,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:13:00,40.245604,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:13:01,41.245725,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:13:02,42.245871,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:13:03,43.245963,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:13:04,44.246130,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:13:05,45.246272,0.894781,0.834661,0.898000,0.849138,231,1,4
2026/01/19/14:13:06,46.246430,0.894781,0.834661,0.898000,0.849138,231,1,4
