k_max,row_label,plugin_mode,plugin_enforcement,with_default_preemption,N16_muA16
1,Periodic (blk),periodic,blocking,False,+7800.7
1,"Periodic (blk, defpreempt)",periodic,blocking,True,+7972.2
1,Periodic (non-blk),periodic,nonblocking,False,+8187.8
1,"Periodic (non-blk, defpreempt)",periodic,nonblocking,True,+7844.3
1,Stable-queue (blk),stable-queue,blocking,False,+8831.1
1,"Stable-queue (blk, defpreempt)",stable-queue,blocking,True,+8943.0
1,Stable-queue (non-blk),stable-queue,nonblocking,False,+8030.5
1,"Stable-queue (non-blk, defpreempt)",stable-queue,nonblocking,True,+8929.3
