id,cpu_request,mem_request,inter_arrival_us,life_time_us,priority
clusterdata_2019_a:379519553913:1,0.00519561767578125,0.002788543701171875,181940,73000000,200
clusterdata_2019_a:392176756753:1091,0.0081939697265625,0.0012531280517578125,1,93000000,0
clusterdata_2019_a:383165472257:628,0.0088043212890625,0.00650787353515625,1,72000000,0
clusterdata_2019_a:400248012704:106,0.0132904052734375,0.003177642822265625,1,1276000000,0
clusterdata_2019_a:398525518697:1103,0.00757598876953125,0.00650787353515625,1,53000000,0
clusterdata_2019_a:383005812013:908,0.003345489501953125,0.00650787353515625,1,69000000,0
clusterdata_2019_a:382745204813:1975,0.0081024169921875,0.01171875,1,981000000,0
clusterdata_2019_a:396201108769:1376,0.003170013427734375,0.00650787353515625,1,74000000,0
clusterdata_2019_a:399771911662:1298,0.00616455078125,0.028656005859375,1,755000000,0
clusterdata_2019_a:398996418327:1264,0.0316162109375,0.0044708251953125,1,2330000000,0
clusterdata_2019_a:397985511667:165,0.003170013427734375,0.003177642822265625,1,42000000,0
clusterdata_2019_a:382986743824:1587,0.04052734375,0.00025463104248046875,1,12238000000,0
clusterdata_2019_a:380202610830:461,0.0027313232421875,0.0018482208251953125,1,46000000,0
clusterdata_2019_a:384930950971:855,0.0058135986328125,0.020843505859375,1,122000000,0
clusterdata_2019_a:382675430686:539,0.003787994384765625,0.00650787353515625,1,16811000000,0
clusterdata_2019_a:399595442536:1441,0.0041351318359375,0.003177642822265625,1,184139000000,0
clusterdata_2019_a:393641784528:694,0.00933837890625,0.0084686279296875,1,38000000,103
clusterdata_2019_a:381296444339:372,0.024993896484375,0.03973388671875,1,112000000,0
clusterdata_2019_a:397187678689:1455,0.00510406494140625,0.00650787353515625,1,86000000,0
clusterdata_2019_a:375072118484:0,0.0081024169921875,0.00494384765625,13,22000000,0
clusterdata_2019_a:375163730398:190,0.003520965576171875,0.001697540283203125,1,2569000000,0
clusterdata_2019_a:395118993345:6093,0.0017604827880859375,0.00125885009765625,1,338000000,0
clusterdata_2019_a:382602768461:2144,0.01910400390625,0.018218994140625,1,57000000,0
clusterdata_2019_a:383851930559:0,0.003696441650390625,0.0018310546875,65227,1084000000,0
clusterdata_2019_a:385499528938:1238,0.03277587890625,0.00274658203125,1,47000000,0
clusterdata_2019_a:384715639063:181,0.00360870361328125,0.002605438232421875,1,62000000,0
clusterdata_2019_a:400099696024:394,0.003696441650390625,0.00196075439453125,1,17000000,0
clusterdata_2019_a:385101583090:17,0.0660400390625,0.03253173828125,1,145000000,0
clusterdata_2019_a:383102132791:509,0.007659912109375,0.003726959228515625,1,240000000,0
clusterdata_2019_a:380449737259:708,0.0081024169921875,0.003406524658203125,0,4793000000,105
clusterdata_2019_a:378757666590:96,0.008636474609375,0.005340576171875,1,278000000,0
clusterdata_2019_a:396620979694:0,0.003170013427734375,0.003177642822265625,14,43000000,0
clusterdata_2019_a:382519337377:385,0.00566864013671875,0.00262451171875,1,115000000,0
clusterdata_2019_a:398558335537:0,0.0141754150390625,0.00521087646484375,20,245000000,0
clusterdata_2019_a:384593517920:12,0.002819061279296875,0.004119873046875,0,1019000000,103
clusterdata_2019_a:382928233210:307,0.00624847412109375,0.00650787353515625,1,20000000,0
clusterdata_2019_a:380826840765:675,0.0014972686767578125,0.00299835205078125,1,60000000,0
clusterdata_2019_a:388403272495:1419,0.00566864013671875,0.00262451171875,1,111000000,0
clusterdata_2019_a:388402248619:1901,0.019012451171875,0.029541015625,1,59000000,0
clusterdata_2019_a:381307661692:42390,0.00566864013671875,0.00262451171875,1,91449000000,0
clusterdata_2019_a:382942554093:1470,0.0081024169921875,0.00521087646484375,1,70000000,0
clusterdata_2019_a:383838027940:9,0.00360870361328125,0.003742218017578125,1,335000000,0
clusterdata_2019_a:383159194005:1461,0.00246429443359375,0.00518035888671875,1,23000000,0
clusterdata_2019_a:381920500233:909,0.02008056640625,0.005828857421875,0,7126000000,105
clusterdata_2019_a:380205806672:1638,0.004669189453125,0.0054473876953125,1,741000000,0
clusterdata_2019_a:385433006776:1357,0.0126800537109375,0.0102081298828125,1,50000000,0
clusterdata_2019_a:395321679688:1,0.03778076171875,0.002887725830078125,108064,75000000,200
